"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
Innovation and Transformation Measurement and Prediction,CA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeGen - AI-assisted IT Application Development,CA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Within Grade Increase Data Extraction Automation,CGFS,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Procurement & Financial Management,Natural Language Processing (NLP),"Moving large amounts of data from paper and/or digital forms into a digital system can be challenging, time intensive, and costly.",Lower processing time and resources for cost savings.,Tabulated dataset of extracted values referred for human review.,10/17/2023 00:00:00,c) Developed with both contracting and in-house resources,GCP,No,N/A,Mocked-up forms,N/A,No,N/A,j) Employment Status i) Income,Yes,N/A,,,,,,,,,
DS-5528 Promissory Note Automation,CGFS,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Procurement & Financial Management,Natural Language Processing (NLP),"Moving large amounts of data from paper and/or digital forms into a digital system is challenging, time intensive, and costly.",A reduction in processing time and needed resources to lower costs to complete tasks.,Dataset of extracted information referred for human review.,12/08/2023 00:00:00,c) Developed with both contracting and in-house resources,Google,No,N/A,Mocked-up Promissory Notes,N/A,Yes,N/A,k) None of the above,Yes,N/A,,,,,,,,,
StateInsight,CGFS,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Procurement & Financial Management,Natural Language Processing (NLP),The need to summarize documents to produce a description of procurement awards and to allow authorized users to ask questions of the documents. ,"Time and cost savings through efficiency, improved contract management for better outcomes, and more continuity of contractor services.",Summary of documents to produce a description of procurement awards and responses to questions asked about the documents.,,,,,,,,,,,,,,,,,,,,,
Violence Against Civilians Model,CSO,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
User and Entity Behavior Analytics (UEBA),DS,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Data.State Analytics and AI Funhouse,DT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Information Technology,Other,"Data scientists require a cybersecure platform for data science experiments, learning, and workflow deployment. Funhouse provides secure and documented access to GenAI and ML tools in an authorized and auditable platform. ","Provide cybersecure analytics and AI experimentation to support mission delivery and process efficiency, increased mission efficiency, accelerated AI innovation, and cost savings. ","Funhouse is a platform that enables use of general purpose AI and ML tools, including open source, OpenAI, and Azure AI models allowing individual users to tackle a variety of business problems across the Department's mission.",01/10/2025 00:00:00,c) Developed with both contracting and in-house resources,"Microsoft, Databricks, ZenPoint",Yes,Data.State-SBU; DOS-O365,N/A,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
FOIA 360 AI Matching Tool,DT,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Property and Procurement Analytics,DT,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Administrative Functions,Classical/Predictive Machine Learning,The need to expand analytics within the Integrated Logistics Management System (ILMS) through development of a machine learning model for detecting patterns of potential anomalous activity in property and procurement.,The identification and reduction of anomalous procurement activity in overseas posts.,Detection of anomalous activities within the Integrated Logistics Management System (ILMS).,,,,,,,,,,,,,,,,,,,,,
AI Accelerator,DT,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Administrative Functions,Generative AI,"The need to quickly discover answers to common questions about using AI at the Department, locate tools and services, and get help with new AI needs - including guidance and requirements, available tools and solutions, and related processes. ","Enhanced user experience to accelerate AI use at the Department, operational efficiencies to free up time for more complex tasks, and scalability to quickly incorporate new knowledge and related tasks.","Textual responses, links to resources, and links to forms to submit information for follow-on action.",,,,,,,,,,,,,,,,,,,,,
AI Research Engine (AIRE) ,DT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Information Technology,Generative AI,"The need to improve the quality of reporting from the continuously growing sources of information through the categorization, summarization, and translation of information. Includes formerly titled use case ""J Reports Data Collection & Management Tool (DCT).""","AI enables the quick categorization, summarization, and translation of data to make it easily accessible for quicker drafting of higher quality reports, resulting in staff time savings, reduced redundant workload, and better information to support the mission. Significant reduction in time and costs required to create higher quality reports.","Summarized information, translated documents, and sorted data. ",02/15/2024 00:00:00,c) Developed with both contracting and in-house resources,Deloitte ,Yes,Data.State-SBU,N/A,N/A,No,N/A,k) None of the above,No,N/A,,,,,,,,,
PFCS Proving Ground,DT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Information Technology,Other,The need for an experimentation platform to promote the development and adoption of AI solutions. ,The ability for personnel and teams to experiment with developing innovative AI solutions to address mission delivery or back office processes. Efficiency and effectiveness. ,"Proofs of concept that can tackle a variety of business problems across the mission, and can be scaled to enterprise solutions. ",05/01/2025 00:00:00,c) Developed with both contracting and in-house resources,Palantir,Yes,CfA PFCS,N/A,N/A,No,N/A,k) None of the above,No,N/A,,,,,,,,,
DT Data Analytics and Assessment (DAA) AI Use Case ITCP Data Harvest,DT,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
POA&M Orchestration,DT,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
StateChat,DT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Information Technology,Generative AI,"The need to safely and securely access, share, summarize, and research Sensitive But Unclassified (SBU) Department information. Improve and reduce time to translating documents, summarizing reports, and drafting emails. StateChat is the Department's enterprise Generative AI-powered chatbot.","Delivers greater operational efficiency and makes personnel better collaborators and competitors on the front lines of diplomacy, delivering decision advantages, negotiation preparation, and preparedness through simulation. Reduced costs and more consistent documents referencing SBU information.","StateChat is a chatbot interface enriched with tools that generate formatted paper products, offer rapid and transparent searches of internal documents, and allow for research, synthesis, and drafting of documents with reference to cables and other internal information, policies, and processes.",03/04/2024 00:00:00,a) Purchased from a vendor,"Palantir, OpenAI",Yes,CfA PFCS,"N/A - There is no training or  fine-tuning of the foundational model, but there is ongoing evaluation of the performance of the foundational model. ",N/A,Yes,N/A,k) None of the above,Yes,N/A,,,,,,,,,
J Reports Data Collection & Management Tool (DCT),DT,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis,F/FAO,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Service Delivery,Natural Language Processing (NLP),Summarizing the key points of a lengthy report using AI.,The NLP application reduces the time needed to extract congressional directives from the annual appropriations bill which ultimately shortens the cycle time for generating the report detailing the annual allocation of U.S. foreign assistance funds to foreign countries and international organizations (i.e. the 653(a) report).,Consolidated congressional directives from the annual appropriations bill to be included in the report detailing the allocation of U.S. foreign assistance funds to foreign countries and international organizations (i.e. the 653(a) report).,08/05/2021 00:00:00,c) Developed with both contracting and in-house resources,Guidehouse,Yes,FACTS Info,Annual appropriations bills,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
ForeignAssistance.gov Processing for Mismatched Data,F/FAO,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
FA.gov PII Picker,F/FAO,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,International Affairs,Natural Language Processing (NLP),"The need to streamline a process, improve accuracy, and provide validation checks. The previous process to identify Personally Identifying Information (PII) required additional layers of manual verification.",Additional support to ensure data and privacy protections in public facing databases with less manual time and effort. ,The identification of potential PII contained in data submissions.,04/30/2024 00:00:00,c) Developed with both contracting and in-house resources,Guidehouse,No,N/A,The PII Picker fine tuned the spaCy NER model using a custom dataset of PII.  This custom dataset was created using the PII that DOS identified while reviewing financial data prior to publication on ForeignAssistance.gov.,N/A,Yes,N/A,l) Other,Yes,N/A,,,,,,,,,
Integrated Country Strategy (ICS) Turbo,F/FAO,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,International Affairs,Natural Language Processing (NLP),The need to conduct thematic analysis on large volumes of Integrated Country Strategy (ICS) data in a comprehensive and time efficient manner.,"Increased capacity of personnel to identify lessons learned and best practices by leveraging historical documentation.  This is intended to be accomplished by decreasing the time and effort spent reading, synthesizing, and categorizing the contents of historical Integrated Country Strategies (ICS). ",Thematic categories that group ICS sub-objectives written over periods of time across all countries. ,06/11/2025 00:00:00,c) Developed with both contracting and in-house resources,Guidehouse,No,N/A,N/A,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
FA.gov RedactAid,F/FAO,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,International Affairs,Classical/Predictive Machine Learning,The need to improve data quality of information and prevent sensitive data from being published to ForeignAssistance.gov.,Reduced effort and improved consistency and accuracy in protecting sensitive information from getting published in public-facing databases.,Sensitive information is identified and flagged prior to ForeignAssistance.gov publication.,12/13/2024 00:00:00,c) Developed with both contracting and in-house resources,Guidehouse,No,N/A,The RedactAid model was trained using historical unredacted ForeignAssistance.gov datasets.,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
Automatic Detection of Authentic Material ,NFATC,cfa@state.gov,a) No,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,N/A,Other,Natural Language Processing (NLP),"The need to detect/identify authentic materials in target languages, reducing the time to develop language curricula and tests. ",Reduced staff hours and improved variety of materials in foreign languages.,"Authentic text, audio, and video in 8 foreign languages.  ",11/10/2023 00:00:00,b) Developed in-house,N/A,No,N/A,N/A,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
Office of the Historian (OH) Historical Analysis for Negotiations ,NFATC,cfa@state.gov,a) No,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,N/A,International Affairs,Generative AI,The need for historical information in real time to assist with analysis by the Office of the Historian (OH) and decision making. ,Negotiators save time and achieve information advantage related to historical country relationships. ,Succinct 1-page overviews of research for US negotiators and their assistants. ,07/01/2025 00:00:00,b) Developed in-house,N/A,No,N/A,References the Foreign Relations of the United States series,N/A,No,N/A,k) None of the above,No,N/A,,,,,,,,,
FSI Enterprise Operations - Gaming and Simulations,NFATC,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhancing Training Effectiveness in FSILearn Using AI,NFATC,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
FSI Continuous Learning Solutions,NFATC,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Media Analytics Platform,GPA,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,International Affairs,Generative AI,Using open-source neural machine translation models to translate global media articles and Department and public foreign social media posts into English. ,The use case reduces labor in producing media summary reports.,Summaries of large volumes of foreign language news and online posts to help teams identify and understand trends in a more efficient manner.,03/01/2024 00:00:00,b) Developed in-house,N/A,Yes,NorthStar,FLORES 200+ is used for evaluating translation models,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
Electronic Health Record AI Enhancements,DT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,N/A,Health & Medical,Generative AI,"Provide efficient, accurate, and comprehensive medical electronic health record (EHR) management, patient care, and administrative workflows by leveraging AI-powered tools, including large language models (LLMs) and natural language processing (NLP). ","Improved operational efficiency, reduction of errors, and greater focus on delivering quality patient care. Improved patient data and safety with cost savings and operational efficiencies, transparency, and security. Enhanced clinical decision-making by summarizing patient information, identifying discrepancies, and generating referrals based on historical data and current inputs.","Automated data extraction, validation, sentiment analysis, categorization, identification of document types, data discrepancies, and text summarization into structured medical chart components. 
",03/03/2025 00:00:00,c) Developed with both contracting and in-house resources,Palantir,Yes,MED-PLTR,MED-defined policy and definitions,N/A,Yes,https://www.state.gov/wp-content/uploads/2024/08/MED-PLTR-MED-PIA-for-Public-Facing-Site.pdf,b) Sex c) Age ,Yes,N/A,a) Yes,b) In-progress,Pending AI Impact Assessment,d) In-progress,"a) Yes, sufficient monitoring protocols have been established","a) Yes, sufficient and periodic training has been established",a) Yes  ,b) Not applicable,a) Direct usability testing  
Rosie Chat Bot,MGT,cfa@state.gov,a) No,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,N/A,Human Resources,Generative AI,"The need for employees to locate consistent, accurate answers to HR-related questions quickly based on internal information.","Cost savings, reduced wait times, improved access to information, enhanced efficiency, scalability, and consistency in communication.",Contextual answers and emails.,09/02/2025 00:00:00,b) Developed in-house,N/A,Yes,DOS-O365,N/A,N/A,No,N/A,k) None of the above,No,N/A,,,,,,,,,
Utility Invoices Data Extraction ,MGT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Administrative Functions,Classical/Predictive Machine Learning,The need to reconcile and process payments faster.,Reduced time and labor costs through a more efficient and accurate process that automatically identifies key information to issue payments. ,"Key details from utility invoices, such as the account name, amount due, and consumption for processing payments and for preparing the monthly consumption reports.
",10/04/2023 00:00:00,b) Developed in-house,N/A,No,N/A,Historical bills.,N/A,No,N/A,k) None of the above,No,N/A,,,,,,,,,
Database for Arrivals  ,MGT,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Human Resources,Computer Vision,Automating the extraction of personnel information to create a centralized database for arrivals and departures. ,"Enhances collaboration and coordination among management sections, streamlining operations. ",Centralized list or excel sheet database of personnel information.,,,,,,,,,,,,,,,,,,,,,
AI SharePoint Chatbot ,MGT,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Information Technology,Generative AI,The need for efficient access to post-specific information.,"Improves productivity, engagement, and access to post-specific information.",Answers to post-specific questions via a chatbot integrated into the Embassy SharePoint site.,,,,,,,,,,,,,,,,,,,,,
Databricks Code Assistant,MGT,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Information Technology,Generative AI,Determining potential billing problems for Department mobile plans can be time consuming and prone to errors.,"Improve efficiency, save costs, and save time conducting analyses of mobile plans, bills, and usage. ",A data usage report.,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing (NLP) to pull key information from unstructured texts,PM,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter:  Generative AI Support Bot,WHA,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Information Technology,Generative AI,The need to more effectively focus on critical customer requests with existing resources.,Cost savings and reduced customer wait times by addressing Tier 0 and Tier 1 requests without human intervention.,"Responses to Tier 0 and Tier 1 requests via a virtual customer service agent based on current management, policies, directives, and other internal resources.",03/06/2025 00:00:00,a) Purchased from a vendor,Microsoft,Yes,DOS-O365,N/A,N/A,Yes,N/A,k) None of the above,No,N/A,,,,,,,,,
ECA Program Management and Outreach - Summarization,ECA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Storyzy,R/GEC,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Tools to Enhance PD Workflows,GPA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Mobilization Model,CSO,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Senturion Alpha,CSO,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
WHA/EX Information Management,WHA,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Information Technology,Generative AI,"Knowledge Management for administrative and IT related processes. Formerly known as ""Low Earth Orbit (LEO) – Budget Office Inquiries"" to answer questions frequently asked about budget.",Cost savings and reduced customer wait times.,Generative AI or logic-based responses with answers to administrative/IT related FAQs.,03/03/2025 00:00:00,c) Developed with both contracting and in-house resources,Microsoft,Yes,DOS-O365,WHA/EX SharePoint Data,N/A,Yes,N/A,k) None of the above, No,N/A,,,,,,,,,
Creating Persistent Virtual Reality Personas for Dynamic Training,NFATC,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Other,Generative AI,"There is a need to improve effectiveness of immersive training in the future. The team develops a dynamic integration between multiple AI tools to create stored/persistent ""personas"" that can be interacted with during training-related virtual reality (VR) exercises.",Natural conversation-based simulations and more effective training scenarios.,Persistent Personas; Speech-to-text API; Language Translation,,,,,,,,,,,,,,,,,,,,,
Translation of Consular Content using AI,CA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
TIP Report Research Translation,DT,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Other,Generative AI,"The TIP Report Translation AI system provides informal, unofficial translations for materials related to the annual Trafficking in Persons report.  This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolving data gaps. ","This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolving data gaps. ","Informal, unofficial translations of PDFs and Microsoft word documents. Each document includes a watermark denoting that the AI translation is unofficial and must be reviewed by a human.",11/01/2023 00:00:00,c) Developed with both contracting and in-house resources,"Deloitte, AzureAI",Yes,AzureAI Translator,"We do not train nor fine-tune the foundational model, but there is ongoing evaluation of the performance of the foundational model.",N/A, No,N/A,k) None of the above, No,N/A,,,,,,,,,
