Agency,Use Case ID,Use Case Name,Bureau/Component,Stage of Development (Raw),Stage of Development,Is the AI use case high-impact? (Raw),Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency's mission and/or the general public?,Describe the AI system's outputs.,Date when AI use case became operational or the pilot's start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case's associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case?,Has an AI impact assessment been completed for this AI use case?,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system's outcome?,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Department Of Agriculture,USDA-008,Automated Detection & Mapping of Host Plants from Ground Level Imagery,Plant Protection and Quarantine,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Science & Space,,,This system generates maps of specific tree species from ground-level (streetview) images. Expected benefits are decreased time and cost associated with manual collection of the data.,The model outputs GPS coordinates of flagged locations.,,,,,The model outputs GPS coordinates of flagged locations.,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-009,Democratizing Data,Strategic Planning and Business Services Division,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"This system scans collections of published documents to find how publicly-funded data and evidence are used to serve science and society. This helps the National Agricultural Statistics Service and the Economic Research Service understand who is using their data and why. This improves customer service, helps evaluate programs, and answers important questions for planning and learning.",The model outputs text containing the identified dataset reference information.,3/8/2021,Developed with contracting resources,,,The model outputs text containing the identified dataset reference information.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-011,Land Change Analysis Tool (LCAT),Geospatial Enterprise Operations,Stage 3 - Implementation (Use case is currently undergoing functionality and security testing),Pilot,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"The Land Change Analysis Tool (LCAT) creates high resolution maps to help make land use decisions. For example, it has been used to monitor eastern redcedar for about 40 years in South Dakota and to support wildlife hazard assessments at airports with various organizations. This tool reduced the labor hours needed by the Farm Service Agency (FSA) to review land data accuracy in Georgia by 100 times.",The model outputs land cover maps.,10/1/2018,Developed in-house,,,The model outputs land cover maps.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-012,OCIO/CDO Council Comment Analysis Tool,Office of the Chief Data Officer,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"This prototype helps reviewers identify the main topics and themes of comments, and then group similar comments together. This makes the comment review process more efficient by providing new insights and speeding up comment processing. Benefits include reducing repeated development efforts across the government and saving costs.",The model outputs groups of comments categorized by topic and similarity.,12/1/2020,Developed with contracting resources,,,The model outputs groups of comments categorized by topic and similarity.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-013,Retailer Receipt Analysis,Office of Retailer Operations & Compliance,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Government Services (includes Benefits and Service Delivery),,,This system uses optical character recognition (OCR) to convert physical inventory documentation into digital text. This makes the review of inventory documents more efficient and consistent.,The model outputs digital text of inventory documentation and distinguishes food items and categories.,10/1/2021,Developed with contracting resources,,,The model outputs digital text of inventory documentation and distinguishes food items and categories.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-014,Ecosystem Management Decision Support System (EMDS),Research and Development,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Energy & the Environment,,,This system provides decision support for environmental analysis and planning by using AI-powered tools in ArcGIS and QGIS. Use of this system empowers stakeholders to make more informed and effective decisions about natural resource management.,"Outputs from this system include the identification of landscapes in need of management/maintenance, along with suggested management actions based on considerations such as cost, efficacy, and policy.",1/1/1994,Developed with contracting resources,,,"Outputs from this system include the identification of landscapes in need of management/maintenance, along with suggested management actions based on considerations such as cost, efficacy, and policy.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-016,Cross-Laminated Timber (CLT) Knowledge Database,Northern Research Station,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Energy & the Environment,,,"This system enables researchers, practitioners, and the public to find specialized information about timber products. Benefits include faster information sharing and less time spent on manual searches.",System outputs are webpage links from the timber knowledge database.,12/1/2017,Developed with contracting resources,,,System outputs are webpage links from the timber knowledge database.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-017,Raster Tools,Rocky Mountain Research Station,Stage 3 - Implementation (Use case is currently undergoing functionality and security testing),Pilot,No,Not high-impact,,Science & Space,,,"This system will make machine learning techniques available for geospatial applications. Benefits include standardization of methods, improved work quality, and increased user productivity.","The system API (Application Programming Interface) provides various AI outputs, usually in the form of raster images and data tables.",8/1/2021,Developed in-house,,,"The system API (Application Programming Interface) provides various AI outputs, usually in the form of raster images and data tables.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-018,TreeMap and FuelMap (all versions),"Rocky Mountain Research Station, Missoula Fire Sciences Lab","Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Energy & the Environment,,,"TreeMap provides a detailed model of the forests in the US. It is used for measuring carbon, planning fuel treatments, starting landscape vegetation models, assessing fire effects, and more. Users include the US Forest Service, private companies, and state governments.",TreeMap produces a detailed map of a plot of forest and a database table listing individual tree records or fuel characteristics for each plot.,1/1/2010,Developed in-house,,,TreeMap produces a detailed map of a plot of forest and a database table listing individual tree records or fuel characteristics for each plot.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-019,Landscape Change Monitoring System (LCMS),Geospatial Office,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Science & Space,,,This project monitors large areas for changes in land cover and land use over time. The benefits include creating a consistent method for tracking changes in the landscape.,"The model outputs predictions of vegetation gain, vegetation loss, land cover, and land uses.",1/15/2016,Developed in-house,,,"The model outputs predictions of vegetation gain, vegetation loss, land cover, and land uses.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-021,Forest Health Detection Monitoring,Geospatial Office,Stage 3 - Implementation (Use case is currently undergoing functionality and security testing),Pilot,No,Not high-impact,,Energy & the Environment,,,This project monitors forest health by detecting tree damage through changes in light patterns collected by satellites. This detection method helps the Forest Health Protection program monitor areas that can't be checked on the ground or with aerial surveys.,"The model outputs the stage of forest health based on the image, along with a map (polygons) of the area for monitoring.",6/29/2021,Developed with both contracting and in-house resources,,,"The model outputs the stage of forest health based on the image, along with a map (polygons) of the area for monitoring.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-022,Cropland Data Layer,Research and Development Division,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Agricultural Statistics,,,This project produces supplemental estimates of crop acreage and releases geospatial data products to the user community.,The system outputs are an acreage estimate and agrigulture-specific land cover product.,1/1/2008,Developed in-house,,,The system outputs are an acreage estimate and agrigulture-specific land cover product.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-023,List Frame Deadwood Identification,Frames Maintenance,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Agricultural Statistics,,,"This model helps identify farms that may be out of business on the National Agricultural Statistics Service list. Parts of the model were used to create clear rules to identify these farms. The resulting list is more accurate and allows for smaller sample sizes, reducing the burden on respondents.",The output of the model was a probability score that a farm is out of business.,2/4/2014,Developed in-house,,,The output of the model was a probability score that a farm is out of business.,,,,,Age;,,,,,,,,,,,
Department Of Agriculture,USDA-024,Climate Change Classification NLP,"Planning, Accountability and Reporting Staff and Institute of Bioenergy, Climate and Environment",Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,The Climate Change Classification Natural Language Processing (NLP) model identifies likely climate-related projects within National Institute of Food and Agriculture's (NIFA) large and diverse funding portfolio. Expected benefits include reduced labor hours for reporting and increased repeatability and accuracy of reporting.,"Model output is a list of climate change projects classified as ""climate change related"" or ""not climate change related"" for National Institute of Food and Agriculture (NIFA) internal project review/adjudication and reporting.",7/1/2021,Developed with both contracting and in-house resources,,,"Model output is a list of climate change projects classified as ""climate change related"" or ""not climate change related"" for National Institute of Food and Agriculture (NIFA) internal project review/adjudication and reporting.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-025,Video Surveillance System,Facility Protection Division (FPD),"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,The purpose of this system is to conduct facial recognition video surveillance to provide enhanced security. Benefits include reduced labor hours for technicians and augmented surveillance capability.,"The system outputs a positive match to the security control center, indicating identification of the selected individual. An alarm notification is sent to alert security personnel.",2/14/2020,Developed with both contracting and in-house resources,,,"The system outputs a positive match to the security control center, indicating identification of the selected individual. An alarm notification is sent to alert security personnel.",,,,,Sex/Gender; Race/Ethnicity;,,,,,,,,,,,
Department Of Agriculture,USDA-026,Aquisition Approval Request Compliance Tool,Office of the Chief Information Officer,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,This project was developed to help identify likely Information Technology (IT) purchases that do not have an associated Acquisition Approval Request. The benefits are reducing unauthorized IT purchases and increasing compliance with IT procurement procedures and approvals.,The output is a score indicating how likely it is that the purchase is an Information Technology (IT) purchase.,10/31/2019,Developed with both contracting and in-house resources,,,The output is a score indicating how likely it is that the purchase is an Information Technology (IT) purchase.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-027,Operational Water Supply Forecasting for Western US Rivers,National Water and Climate Center,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,Yes,High-impact,,Mission-Enabling (Internal Agency Support),,,"The National Water and Climate Center has a multi-model machine-learning metasystem (M4) for generating water supply forecasts. This model uses AI and other data-science technologies to reduce forecast errors, helping stakeholders make better decisions about water supply availability.",The model outputs water supply forecasts.,12/1/2019,Developed in-house,,,The model outputs water supply forecasts.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-028,Standardization of Cut Flower Business Names for Message Set Data,Plant Protection and Quarantine,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Mission-Enabling (Internal Agency Support),,,"Natural Language Processing (NLP) is used to match names of producers to varietal information for cut flowers, which will help convert from manual to automated inspection systems. The main benefit of automation is that it can manage thousands of entities, which would be impossible to handle manually.",The model outputs before and after lists of producer names and cut flower varieties.,,,,,The model outputs before and after lists of producer names and cut flower varieties.,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-029,Intelligent Ticket Routing,Digital Infrastructure Services Center,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"Help desk tickets are often sent to the wrong group and must be manually re-routed to the correct group, which can take time, resources, and may delay issue resolution. The Intelligent Ticket Routing system helps to send the ticket to the correct group, increasing customer satisfaction by reducing the number of times a customer is transferred or placed on hold, and decreasing the average handle time (AHT). In our specific use case, we reduce the time taken to route a ticket to the appropriate group, shortening the time required to resolve an issue.",The system outputs a prediction of the appropriate group for ticket management.,1/1/2022,Developed with both contracting and in-house resources,,,The system outputs a prediction of the appropriate group for ticket management.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-030,Predictive Maintenance Impacts,Digital Infrastructure Services Center,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"A natural language processing (NLP) model classifies whether infrastructure maintenance changes will or will not cause an incident at the Digital Infrastructure Services Center (DISC). Using this system, the business can improve the review process or address specific needs within groups. This will lead to process improvements, increased productivity, higher performance and job satisfaction, higher client satisfaction, and better achievement of key performance indicators (KPIs).",The model outputs a score between 0 to 1. Closer to 1 indicates higher likelihood of an incident created by the proposed change.,3/1/2020,Developed with both contracting and in-house resources,,,The model outputs a score between 0 to 1. Closer to 1 indicates higher likelihood of an incident created by the proposed change.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-031,Artificial Intelligence SPAM Mitigation Project,Center for Civil Rights Operations; Data Records and Management Division,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Government Services (includes Benefits and Service Delivery),,,"An AI/ML model automatically classifies and removes spam and marketing emails from civil rights complaints email channels. Benefits include reducing the time spent manually managing email channels, decreasing the memory burden on email systems, and lowering the risk from malicious emails.","The model outputs a classification of received emails, flagging spam, marketing, and phishing emails.",,,,,"The model outputs a classification of received emails, flagging spam, marketing, and phishing emails.",,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-032,Approximate String Matching (aka fuzzy matching) to Standardize Data,Plant Protection and Quarantine,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"A model is used to replace typos in Plant Protection and Quarantine (PPQ) program data using a list of standardized producer and commodity names. This results in clean, standardized data through an automated workflow. Benefits include reducing labor hours compared to manual data cleaning, makes near-real-time reporting possible, and accurate data enables program managers to conduct efficient policy enforcement and program monitoring.",The model outputs corrected text data.,2/1/2023,Developed in-house,,,The model outputs corrected text data.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-033,Automated PDF Document Processing and Information Extraction,Plant Protection and Quarantine,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,This use case takes program and workforce related information stored in thousands of PDFs and converts the information into data tables that can be used for analytics and dashboards. This makes information that is difficult to find available in real-time to support decision making and saves large amounts of time compared to previous methods used.,The model outputs structured database tables.,10/15/2022,Developed in-house,,,The model outputs structured database tables.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-035,Census Propensity Scores via ML,Research and Development Division,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Agricultural Statistics,,,This model predicts how likely individuals or operations are to complete the Census of Agriculture. The predictions can help data collectors decide where they need to focus their efforts in order to get more complete census responses.,The model outputs a probability score (all values from and including 0 to 1).,10/1/2022,Developed in-house,,,The model outputs a probability score (all values from and including 0 to 1).,,,,,Zipcode;,,,,,,,,,,,
Department Of Agriculture,USDA-036,Ecological Site Descriptions (Machine Learning),Soil Science and Resource Assessment,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Mission-Enabling (Internal Agency Support),,,"This AI/ML work conducts analysis of over 20 million records of soils data and 20,000 text documents of ecological information in order to provide complete soil based ecological information for the country. Benefits include reduction in labor hours manually analyzing documents, and enabling stakeholders to examine records in ways previously not thought of to make more informed decisions.",The AI model outputs ecological soil classifications and mappings.,,,,,The AI model outputs ecological soil classifications and mappings.,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-037,Conservation Effects Assessment Project,Resource Inventory and Assessment Division,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"The purpose of the use case is to predict the conservation effects of cropland practices in real time, with no technical skill required. Such models would allow field conservation planners to have real-time conservation effects on sediment and nutrients.",The model outputs predictions of sediment and nutrient change values based on conservation methods.,11/1/2021,Developed in-house,,,The model outputs predictions of sediment and nutrient change values based on conservation methods.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-038,Digital Imagery (no-change) for NRI Program,Resource Inventory and Assessment Division,Stage 1 - Initiation (The use case's intended purpose and high-level requirements are documented),Pre-deployment,,,,Mission-Enabling (Internal Agency Support),,,"AI algorithms are used to look at landscape images and detect if the landscape has changed from year to year. Currently, about 72000 aerial images are interpreted by dozens of technicians each year to collect data for the National Resources Inventory (NRI) program. This case would decrease the number of labor hours required of technicians to manually interpret images.",The model outputs a classification of “no-changes” in the images if the landscape in the images remain stable from year to year.,10/1/2022,,,,The model outputs a classification of “no-changes” in the images if the landscape in the images remain stable from year to year.,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-039,Nutrition Education & Local Access Dashboard,Regional Operations & Support; Mountain Plains Regional Office,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Government Services (includes Benefits and Service Delivery),,,"The goal of this dashboard is to provide county-level information on nutrition education and local food access, alongside other metrics related to hunger and nutritional health. This interactive dashboard can provide specific details based on the properties of farm to school intensity and size, program activity intensity, ethnicity and race, fresh food access, school size, and program participation. These properties allow users to find similar states based on any of these characteristics, opening up opportunities for partnerships with states they may not have considered. Benefits include increasing stakeholder awareness and empowering more informed decision-making and collaboration.",The model outputs groups of similar counties/states based on the different combinations of properties available for states.,11/9/2022,Developed with both contracting and in-house resources,,,The model outputs groups of similar counties/states based on the different combinations of properties available for states.,,,,,Race/Ethnicity;,,,,,,,,,,,
Department Of Agriculture,USDA-040,Survey Text Remarks Value Scoring,Methods Division,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,The purpose of this use case is to analyze a large amout of text in survey responses and score all comments with a priority value. The highly scored blocks of text then get prioritized for review by a human and are responded to more quickly than if they were to be retained in a queue.,"The model outputs a value score on each snippit of text, highly scored snippits of text are placed at the front of the queue before lower scored blocks to capture text of value more quickly.",9/24/2021,Developed in-house,,,"The model outputs a value score on each snippit of text, highly scored snippits of text are placed at the front of the queue before lower scored blocks to capture text of value more quickly.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-041,Survey Outlier Detection Model,Methodology Division; Statistics Division; Regional Field Offices,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Agricultural Statistics,,,The purpose of this use case is to identify abnormal values to edit in surveys. This reduces manual labor and improves data quality.,The model outputs a recommendation of which values in a dataset should be changed.,5/1/2022,Developed in-house,,,The model outputs a recommendation of which values in a dataset should be changed.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-042,Multilingual Translation of Recalls and Public Health Alerts,Office of the Chief Technology Officer,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Government Services (includes Benefits and Service Delivery),,,"The purpose of this system is to expand the multilingual outreach of food safety information like recalls and public health alerts. Benefits include cost savings on vendor translation services, faster messaging circulation, and increased number of available languages to the general public.",The model outputs multilingual translations created from the original english text.,6/15/2023,Developed with both contracting and in-house resources,,,The model outputs multilingual translations created from the original english text.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-043,Genomic Analyses of Pathogen Subtypes,Office of Public Health Science,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Science & Space,,,"The purpose of this use case is to use machine learning (ML) methods to group foodborne germs based on patterns in their genes, then connect this information with available health data to evaluate foodborne germ risk to public health. Expected benefits include improving our understanding of important foodborne germ genes, assessing key genes and new trends, and identifying and ranking germs that are important for public health.","The model outputs predictions of high risk foodborne germ subtypes, key genetic markers by importance, and emerging trends.",8/1/2022,Developed in-house,,,"The model outputs predictions of high risk foodborne germ subtypes, key genetic markers by importance, and emerging trends.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-044,Foodborne Illness Source Attribution,Office of Public Health Science,Stage 2 - Development and Acquisition (AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned),Pre-deployment,No,Not high-impact,,Science & Space,,,"The Interagency Food Safety Analytics Collaboration (IFSAC) - a partnership between the Centers for Disease Control and Prevention (CDC), the U.S. Food and Drug Administration (FDA), and the Food Safety and Inspection Service (FSIS) - has used computer-based methods to predict the likely sources of foodborne illnesses in humans caused by various germs (e.g., Salmonella, Campylobacter). Expected benefits include improving our understanding of where these germs come from and how they spread, which can help in creating measures and policies to prevent or reduce illnesses and the overall impact of these diseases.","The model outputs predictions of likely sources of foodborne human illness cases, along with a confidence score of how probable it is that the illness came from the predicted source.",8/2/2021,Developed in-house,,,"The model outputs predictions of likely sources of foodborne human illness cases, along with a confidence score of how probable it is that the illness came from the predicted source.",,,,,None;,,,,,,,,,,,
