Year,Agency,Use Case Name,Retired
2024,Department of Homeland Security,Commercial Generative AI for Text Generation (AI Chatbot),False
2024,Department of Homeland Security,Commercial Generative AI for Image Generation,False
2024,Department of Homeland Security,Commercial Generative AI for Code Generation,False
2024,Department of Homeland Security,OCFO Code Assist GPT,False
2024,Department of Homeland Security,Geospatial Damage Assessments,False
2024,Department of Homeland Security,Hazard Mitigation Assistance Chatbot,False
2024,Department of Homeland Security,Planning Assistant for Resilient Communities (PARC),False
2024,Department of Homeland Security,Recovery and Resilience Resource (RRR) Portal,False
2024,Department of Homeland Security,Digital Processing Procedure Manual (D-PPM),False
2024,Department of Homeland Security,FEMA OCFO GPT,True
2024,Department of Homeland Security,OCFO Response Augmentation Suite,False
2024,Department of Homeland Security,Incident Management Workforce Deployment Model (depmod),False
2024,Department of Homeland Security,Individual Assistance (IA) & Public Assistance (PA) Projections,False
2024,Department of Homeland Security,Voice Analytics for Investigative Data,False
2024,Department of Homeland Security,Semantic Search and Summarization for Investigative Reports,False
2024,Department of Homeland Security,Virtual Agent Chatbot for Human Capital,False
2024,Department of Homeland Security,Machine Learning Translation Technology Initiative,False
2024,Department of Homeland Security,Policy Analyst Assistant,False
2024,Department of Homeland Security,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog),False
2024,Department of Homeland Security,Title III Semantic Search and Summarization for Translated Content,False
2024,Department of Homeland Security,Digital Records Manager (DRM) User Assistance Chatbot,False
2024,Department of Homeland Security,Burlington Finance Center Voice Bot,False
2024,Department of Homeland Security,RAVEn Compliance Automation Tool (CAT),True
2024,Department of Homeland Security,Data Tagging and Classification,True
2024,Department of Homeland Security,Facial Recognition Service,True
2024,Department of Homeland Security,"Machine Translation
(Previously Language Translator)",True
2024,Department of Homeland Security,Investigative Prioritization Aggregator,False
2024,Department of Homeland Security,Hurricane Score,False
2024,Department of Homeland Security,ICE Mobile Check-in Application,False
2024,Department of Homeland Security,AI Assisted Compromise Email Detector (AACED),False
2024,Department of Homeland Security,Intelligent Document Processing for Workflow Automation,False
2024,Department of Homeland Security,"Cybersecurity Threat Management, Detection, and Response",False
2024,Department of Homeland Security,Translation and Transcription for Investigative Data,False
2024,Department of Homeland Security,Biometric Check-in for ATD-ISAP (SmartLINK),False
2024,Department of Homeland Security,Email Analytics for Investigative Data,False
2024,Department of Homeland Security,Mobile Device Analytics for Investigative Data,False
2024,Department of Homeland Security,Identification Card and Travel Document Code Detection,False
2024,Department of Homeland Security,Normalization Services,False
2024,Department of Homeland Security,JES and Appropriations Insight,False
2024,Department of Homeland Security,CFO Companion,False
2024,Department of Homeland Security,Climate Change Assessment Tool,False
2024,Department of Homeland Security,Spending Analysis and Budget Execution Risk (SABER) Model,False
2024,Department of Homeland Security,AdaptiveMFA,False
2024,Department of Homeland Security,ESEC Inquiry (STORM) Summarization,False
2024,Department of Homeland Security,One Health Threat Detection and Risk Assessment Platform (OH-TREADS) / Planner,False
2024,Department of Homeland Security,Sentiment Analysis and Topic Modeling (SenTop),True
2024,Department of Homeland Security,DHS-Chat,False
2024,Department of Homeland Security,User and Entity Behavior Analytics (UEBA),False
2024,Department of Homeland Security,Text Analytics for Survey Responses (TASR),False
2024,Department of Homeland Security,MiX Phenotyping,False
2024,Department of Homeland Security,MiX Indicators,False
2024,Department of Homeland Security,MiX MedINT (Medical Intelligence Dashboard and Canvas),False
2024,Department of Homeland Security,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.,False
2024,Department of Homeland Security,Automated Target Recognition (ATR) Developments for Standard Screening,False
2024,Department of Homeland Security,Accessible Property Screening (APS) Checkpoint CT Prohibited Items (PI) Detection,False
2024,Department of Homeland Security,Walk-Through Metal Detector (WTMD) Alternative Automated Target Recognition (ATR) Developments,False
2024,Department of Homeland Security,Conversation Training and Feedback Simulator,False
2024,Department of Homeland Security,Answer Engine,False
2024,Department of Homeland Security,Automated Field Data Collection,False
2024,Department of Homeland Security,Plan of Day Staff Optimization,False
2024,Department of Homeland Security,TSA Contact Center Virtual Assistant,False
2024,Department of Homeland Security,Machine Learning Analysis Applied to Cyber Threat Hunt Data,False
2024,Department of Homeland Security,Synthetic Data for Improved Automated Threat Recognition (ATR) in Checkpoint Screening,False
2024,Department of Homeland Security,OTA Automated Passenger Screening Gate System,False
2024,Department of Homeland Security,Axon Capture Application,False
2024,Department of Homeland Security,Contract Requirement Automation,False
2024,Department of Homeland Security,TSA Case Handling Platform,False
2024,Department of Homeland Security,CDC Airport Hotspot Throughput (PageRank),True
2024,Department of Homeland Security,Airport Throughput Predictive Model,False
2024,Department of Homeland Security,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor),False
2024,Department of Homeland Security,PreCheck Touchless Identity Solution (TIS),False
2024,Department of Homeland Security,Silicon Valley Innovation Program (SVIP) Language Translator,True
2024,Department of Homeland Security,Adaptive Risk Model for Inspected Small Passenger Vessels,False
2024,Department of Homeland Security,Intelligent Document Processing (IDP) for I-539 Form Digitization,False
2024,Department of Homeland Security,Large Language Models for an Officer Training Tool,False
2024,Department of Homeland Security,User Entity and Behavior Analytics (UEBA) for Security Operations (SecOps) Anomaly Identification,False
2024,Department of Homeland Security,I-765 - USCIS Face Capture Mobile App,False
2024,Department of Homeland Security,Case Processing Improvements in FDNS-DS NexGen,False
2024,Department of Homeland Security,USCIS Translation Service,False
2024,Department of Homeland Security,Verification Match Model,False
2024,Department of Homeland Security,Sentiment Analysis -FOD Field Offices Complaints and Reviews,False
2024,Department of Homeland Security,Asylum Text Analytics,True
2024,Department of Homeland Security,Biometrics Enrollment Tool (BET) Fingerprint Quality Score,True
2024,Department of Homeland Security,Timeseries Analysis and Forecasting,True
2024,Department of Homeland Security,Testing Performance of ML Model using H2O,True
2024,Department of Homeland Security,USCIS  Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only),False
2024,Department of Homeland Security,Sentiment Analysis - Employee Satisfaction Surveys,True
2024,Department of Homeland Security,Sentiment Analysis - ELIS Case Notes,True
2024,Department of Homeland Security,Predicted to Natzuralize,True
2024,Department of Homeland Security,I-485 Family Matching,True
2024,Department of Homeland Security,Topic Modeling on Request For Evidence (RFE) Data Sets,True
2024,Department of Homeland Security,I-539 approval prediction,True
2024,Department of Homeland Security,Text Analytics Data Science Sentence Similarity Model,False
2024,Department of Homeland Security,Biometrics Enrollment Tool (BET) Fingerprint Maximization,False
2024,Department of Homeland Security,ELIS Evidence Classifier Machine Learning (ML) Tagging Solution,False
2024,Department of Homeland Security,Automated Name and Date of Birth (DOB) Harvesting from Existing Records,False
2024,Department of Homeland Security,Automated Realtime Global Organization Specialist (ARGOS) for Company Registration Submissions to E-Verify,False
2024,Department of Homeland Security,ELIS Card Photo Validation via myUSCIS,False
2024,Department of Homeland Security,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),False
2024,Department of Homeland Security,Person-Centric Identity Services Deduplication Model,False
2024,Department of Homeland Security,Person-Centric Identity Services A-Number Management Model,False
2024,Department of Homeland Security,Identity Match Option (IMO) Tool for Record Compilation,False
2024,Department of Homeland Security,Criminal Investigations (OBIM),False
2024,Department of Commerce,GitHub Copilot for Code Modernization,False
2024,Department of Commerce,Azure OpenAI Chat Prototype,False
2024,Department of Commerce,Sentinel One Purple AI,False
2024,Department of Commerce,Real Time Classification for the Economic Census,True
2024,Department of Commerce,Automated Change Detection,False
2024,Department of Commerce,School staff information extraction from web page text,False
2024,Department of Commerce,Census Bureau Demographic Frame Person-Place Model,False
2024,Department of Commerce,Race and Ethnicity Autocoding,False
2024,Department of Commerce,Information extraction for web scraped data for Group Quarters frame enhancement,False
2024,Department of Commerce,Current Population Survey (CPS) Name Screening Tool,False
2024,Department of Commerce,Linkage and Matching Program (LaMP),False
2024,Department of Commerce,Census Research Exploration and Analysis Tool (CREAT),False
2024,Department of Commerce,Dr. NAICS LLM,False
2024,Department of Commerce,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,False
2024,Department of Commerce,FAQ for SMaRT,False
2024,Department of Commerce,Statistical package syntax development and debugging,False
2024,Department of Commerce,DSD Python Code Translation,False
2024,Department of Commerce,Census API GPT,False
2024,Department of Commerce,Natural Language Search for data.census.gov,False
2024,Department of Commerce,"ACES CAPEX (structures, equipment, other) Machine Learning",True
2024,Department of Commerce,FirstNet Authority OCIO MS CoPilot Project,False
2024,Department of Commerce,FirstNet Authority Communications Topaz Labs Photo Editing,False
2024,Department of Commerce,Global Business Navigator Chatbot,False
2024,Department of Commerce,Generative AI Tools Pilot - Global Markets,False
2024,Department of Commerce,Generative AI Tools Pilot - Enterprise & Solutions Architecture,False
2024,Department of Commerce,WAWENETS,False
2024,Department of Commerce,Streamline Spectrum Activities,False
2024,Department of Commerce,Spectrum Visualizations,False
2024,Department of Commerce,Use of Lexis. Other searches for legal research ,False
2024,Department of Commerce,Grants Program Administration,False
2024,Department of Commerce,Grammarly,False
2024,Department of Commerce,Science Data Portal Autosuggest Search ,False
2024,Department of Commerce,FathomNet,False
2024,Department of Commerce,Coastal Change Analysis Program (C-CAP),False
2024,Department of Commerce,"CoralNet: Ongoing operational use, improvement, and development, of machine vision point classification",False
2024,Department of Commerce,Coral Reef Watch,False
2024,Department of Commerce,Steller sea lion brand sighting ,False
2024,Department of Commerce,"CoralNet: Ongoing operational use, improvement, and development, of machine vision point classification.",False
2024,Department of Commerce,"BANTER, a machine learning acoustic event classifier",False
2024,Department of Commerce,Operational satellite product quality monitoring AI-ready training data,False
2024,Department of Commerce,LightningCast: AI for lightning prediction,False
2024,Department of Commerce,CyberSecurity Hardening & Automation,False
2024,Department of Commerce,AI based Community Radiative Transfer Model,False
2024,Department of Commerce,Operational Enterprise Cloud Mask,False
2024,Department of Commerce,AI Snowfall Detection and Snowfall Rate estimation,False
2024,Department of Commerce,AI Rain Rate estimation,False
2024,Department of Commerce,AI Total Precipitable Water estimation,False
2024,Department of Commerce,AI Cloud Liquid Water estimation,False
2024,Department of Commerce,AI retrieval for patent search,False
2024,Department of Commerce,AI use for CPC classification,False
2024,Department of Commerce,AI retrieval for TM design coding and image search,False
2024,Department of Commerce,Enriched Citation,False
2024,Department of Commerce,Inventor Search Assistant (iSAT),True
2024,Department of Commerce,Patent Design Image Search (DesignVision),False
2024,Department of Commerce,USPTO Virtual Assistant (Public-facing chatbot),False
2024,Department of Commerce,Patent Automatic Document Code Determination,False
2024,Department of Commerce,Patents - Skill Group Matching,False
2024,Department of Energy,Groundwater Modeling,False
2024,Department of Energy,OpenText for Records Management (Email Auto-Classification),True
2024,Department of Energy,Applications of Natural Language Processing and Similarity Measures for Similarity Ranking,False
2024,Department of Energy,"Data Analytics and Machine Learning (DAMaL) Tools to enhance the analysis of Environment, Safety and Health (ES&H) data:  Classification, Robotic Process Automation and Data Visualization",False
2024,Department of Energy,"Data Analytics and Machine Learning (DAMaL) Tools for Analysis of Environment, Safety and Health (ES&H) data:  Similarity Based Information Retrieval",False
2024,Department of Energy,"Data Analytics and Machine Learning (DAMaL) Tools to enhance the analysis of Environment, Safety and Health (ES&H) data:  Unsupervised Machine Learning Text Clustering",False
2024,Department of Energy,Fast AI for real-time/online diagnostics and calibration; AI-based autonomous system control/operation optimization (including anomaly/failure detection),False
2024,Department of Energy,"AI for system design optimization (e.g., detector, accelerator)",False
2024,Department of Energy,PARSGPT,False
2024,Department of Energy,CrowdStrike,False
2024,Department of Energy,SCMC AWS Data Infrastructure,False
2024,Department of Energy,ServiceNow Predictive Intelligence,False
2024,Department of Energy,AI-Enhanced Lab Assist,False
2024,Department of Energy,Microsoft 365 Copilot (Productivity Suite),False
2024,Department of Energy,NLCOO AI for Lessons Learned tool ,False
2024,Department of Energy," Spot for automated sensing, inspection, and capture",False
2024,Department of Energy,Microsoft Power Platform capability that provides AI to automate processes in Power Apps and Power Automate,False
2024,Department of Energy,CAISY,False
2024,Department of Energy,ServiceNow Virtual Agent,False
2024,Department of Energy,Databricks AI for Cloud Data Warehouse,False
2024,Department of Energy,DOE Technical Standards,False
2024,Department of Energy,Microsoft Copilot for Security,False
2024,Department of Energy,Text To Speech Audio Generation,False
2024,Department of Energy,Lex Natural Language Interface ,False
2024,Department of Energy,Scopus AI,False
2024,Department of Energy,EnerGPT,False
2024,Department of Energy,MAPPRITE,False
2024,Department of Energy,MI8 Collimators Surogate Model,False
2024,Department of Energy,Records Digitization,False
2024,Department of Energy,Machine Learning components within Splunk Enterprise Security,False
2024,Department of Energy,Machine Learning components within CrowdStrike,False
2024,Department of Energy,AskOEDI,False
2024,Department of Energy,Hanford Search,False
2024,Department of Energy,AI Chat Bot for IT User Services,False
2024,Department of Energy,Hanford Popfon Search,False
2024,Department of Energy,AI for Intelligent Automation,False
2024,Department of Energy,Hanford Ai Liaison,False
2024,Department of Energy,Tritium Accountancy for Fusione Energy,False
2024,Department of Energy,ServiceNow Now Assist,False
2024,Department of Energy,Enhancing ClimRR Capabilities to Better Support Electric Utility Applications and Technical Assistance,False
2024,Department of Energy,WCD-AI,False
2024,Department of Energy,OpenText for Records Management (File share auto-classification),False
2024,Department of Energy,OPQ-AI,False
2024,Department of Energy,Funding Finder,False
2024,Department of Energy,PDF Analyzer,False
2024,Department of Energy,Hanford  Service Ticket Lookup,False
2024,Department of Energy,INL AI Virtual Assitant (AiVA),False
2024,Department of Energy,Unleashing AI Transformer Models on FPGAs for Accelerating LHC and Particle Physics,False
2024,Department of Energy,Hanford Procedure Search,False
2024,Department of Energy,LLM EV ,False
2024,Department of Energy,AskPRIMR,False
2024,Department of Energy,Coupa,False
2024,Department of Energy,GitHub Copilot with the OpenAI Codex,False
2024,Department of Energy,First Alert DataMinr AI,False
2024,Department of Energy,Yurts AI search function,False
2024,Department of Energy,"Interactive platform to help review and create ""Promoting Inclusive and Equitable Research"" Plans",False
2024,Department of Energy,Energy Wizard,False
2024,Department of Energy,LANL AI Portal,False
2024,Department of Energy,Position Description Tool,False
2024,Department of Energy,ChatGPT Enterprise,False
2024,Department of Energy,Argo,False
2024,Department of Energy,AI Chat Bot for Facility Sustainability Practices,False
2024,Department of Energy,AskGDR,False
2024,Department of Energy,Topic Modeling for Energy.gov ,False
2024,Department of Energy,In-Situ Monitoring of Additively Manufactured Parts,False
2024,Department of Energy,Boston Dynamics Spot Robotics,False
2024,Department of Energy,Elastic Stack Technology (ELK),False
2024,Department of Energy,Raytheon Multimedia Monitoring System (M3S),False
2024,Department of Energy,Cognitive Prescreen Tool (CPT),False
2024,Department of Energy,Machine Learning for Linac Improved Performance,False
2024,Department of Energy,Next-Generation Beam Cooling and Control with Optical Stochastic Cooling,False
2024,Department of Energy,high level synthesis for machine learning (previously hls4ml),False
2024,Department of Energy,Streamining intelligent detectors for sPHENIX/EIC,False
2024,Department of Energy,In-pixel AI for future tracking detectors,False
2024,Department of Energy,SONIC: AI acceleration as a service,False
2024,Department of Energy,READS: Real-time Edge AI for Distributed Systems,False
2024,Department of Energy,Extreme data reduction for the edge,False
2024,Department of Energy,Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,False
2024,Department of Energy,Soil Moisture Modeling,False
2024,Department of the Interior,DOIChatGPT AI Chatbot,False
2024,Department of the Interior,DOIChatGPT API Management Instance,False
2024,Department of the Interior,DOIChatGPT API Management Development Environment,False
2024,Department of the Interior,Cost Estimation Using EDL Database Data,False
2024,Department of the Interior,Adobe Firefly Generative Images,False
2024,Department of the Interior,RAG knowledge base of agent procedures,False
2024,Department of the Interior,Use of AI to Enhance Flash Flood Forecast Tool,False
2024,Department of the Interior,Liable Party Research,False
2024,Department of the Interior,Data Extraction Using MS Power Automate AI Functionality,False
2024,Department of the Interior,CESU project to detect of bird nests using deep learning to support annual colonial bird monitoring,False
2024,Department of the Interior,Image Generation and Audio Video Editing,False
2024,Department of the Interior,Use of AI for developing bioacoustic and remote camera imagery wildlife species classifiers for noni,False
2024,Department of the Interior,Machine Learning Model Optimization,False
2024,Department of the Interior,NPS Acquisition Management Workload Software,False
2024,Department of the Interior,Caseguard Studio,False
2024,Department of the Interior,Azure based Internal Controls Testing App for Award Descriptions,False
2024,Department of the Interior,Internal Controls Testing - SAM.gov certifications,False
2024,Department of the Interior,Potential Applications of AI Models to UAS Post-fire Mapping Data Analysis and Image Processing,False
2024,Department of the Interior,Proposal for the I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency in E,False
2024,Department of the Interior,Public Comment Analysis Tool (PCAT): Leveraging Artificial Intelligence (AI) for Enhanced Efficiency,False
2024,Department of the Interior,Pilot: Using Machine Learning to Harvest Data for Standardized Species Conservation,False
2024,Department of the Interior,Summarization of documents and output to ECOSphere species workflow,False
2024,Department of the Interior,Prediction of Suitable Habitat for ESA-listed Species,False
2024,Department of the Interior,Computer Vision Model to Rapidly Identify Habitat Change,False
2024,Department of the Interior,Applying Deep Learning to Detect and Classify Ocean Wildlife,False
2024,Department of the Interior,Enhancing Migratory Bird Surveys with Thermal Imagery and Deep Learning,False
2024,Department of the Interior,SOCS documents analysis,False
2024,Department of the Interior,ONRR Video Hosting Platform [OVHP],False
2024,Department of the Interior,Video Creation and Editing,False
2024,Department of the Interior,"Predictive AI Applications for Wildlife Monitoring: SeeOtter, a custom built software solution for a",False
2024,Department of the Interior,Non-Generative AI use for Trust Information Analysis and Reporting Tool,False
2024,Department of the Interior,Intelligent Optical Character Recognition,False
2024,Department of the Interior,Seasonal/Temporary Wetland/Floodplain Delineation using Remote Sensing and Deep Learning,False
2024,Department of the Interior,Data Driven Sub-Seasonal Forecasting of Temperature and Precipitation ,False
2024,Department of the Interior,Data Driven Streamflow Forecasting,False
2024,Department of the Interior,Snowcast Showdown ,False
2024,Department of the Interior,PyForecast ,False
2024,Department of the Interior,Improved Processing and Analysis of Test and Operating Data from Rotating Machines,False
2024,Department of the Interior,Improving UAS-derived photogrammetric data and analysis accuracy and confidence for high-resolution data sets using artificial intelligence and machine learning,False
2024,Department of the Interior,Photogrammetric Data Set Crack Mapping Technology Search ,False
2024,Department of the Interior,Effects of vehicle traffic on space use and road crossings of caribou in the Arctic,False
2024,Department of the Interior,Automated Walrus Haulout Monitoring,False
2024,Department of the Interior,Forecasting Earthquake Ground Motion Time Series,False
2024,Department of the Interior,CONUS EcoFlows Planning & Prototype,False
2024,Department of the Interior,Prioritized Constituents: Sediment,False
2024,Department of the Interior,Avian population estimates from passive acoustic monitoring,False
2024,Department of the Interior,FEMA mixed population flood-frequency analysis,False
2024,Department of the Interior,"Nutrient, Salinity, and temperature model development",False
2024,Department of the Interior,Data-Driven Streamflow Drought,False
2024,Department of the Interior,AI/ML for aquatic science,False
2024,Department of the Interior,National-Extent Groundwater Quality Prediction for the National Water Census and Regional Integrated,False
2024,Department of the Interior,Use of artificial intelligence tools for optimization and documentation for computer codes,False
2024,Department of the Interior,Improved earthquake detection for research studies,False
2024,Department of the Interior,NGWOS External R&D - Using advanced computing techniques for image-based monitoring,False
2024,Department of the Interior,Water Use Model Development,False
2024,Department of the Interior,National Temperature Observations,False
2024,Department of the Interior,Downscaling and assimilation of meteorology data for local estimates of irrigation water demand.,False
2024,Department of the Interior,National-Extent Groundwater Quality Prediction for the Integrated Water Availability Assessments,False
2024,Department of the Interior,Building capacity for assessment and prediction of post-wildfire water availability,False
2024,Department of the Interior,Mapping sagebrush from drones to satellites,False
2024,Department of the Interior,Delineating sub-surface drainage using satellite imager,False
2024,Department of the Interior,Vegetation mapping on the Hawaiian island of Lanai,False
2024,Department of the Interior,Machine Learning for automatic fracture mapping and rock identification,False
2024,Department of the Interior,Reinforcement Learning for Helmholtz Coil Operation and Simulation,False
2024,Department of the Interior,Deep-learning Integration into NEIC Operations,False
2024,Department of the Interior,Predictions of PFAS Concentrations in Groundwater,False
2024,Department of the Interior,NGWOS External R&D - Using advanced computing techniques for mobile monitoring platforms,False
2024,Department of the Interior,Population and critical habitat modeling of overwintering monarch butterflies,False
2024,Department of the Interior,Automating the Detection and Classification of Wildlife in Aerial Imagery,False
2024,Department of the Interior,Machine Learning algorithm for stream velocity prediction,False
2024,Department of the Interior,Machine Learning for streamflow forecasting,False
2024,Department of the Interior,Automated otolith aging using image processing,False
2024,Department of the Interior,Automating blood smear cell counts using machine learning,False
2024,Department of the Interior,Machine learning for tsunami source zones,False
2024,Department of the Interior,Shoreline Modeling,False
2024,Department of the Interior,Determining the resource potential of critical minerals in seafloor massive sulfide deposits,False
2024,Department of the Interior,"Oceanographic, coastal, and geomorphic change analysis: data generation, QC/QA, and data management",False
2024,Department of the Interior,Synthesizing mapping and monitoring data to inform prairie dog management in National Parks,False
2024,Department of the Interior,"Quantifying the effects of land-use change and bioenergy crop production on pollinators, wildlife, a",False
2024,Department of the Interior,Computationally efficient emulation of spheroidal elastic deformation sources using machine learning,False
2024,Department of the Interior,Wildlife species recognition and distance from camera estimation,False
2024,Department of the Interior,Automating blood smear cell counts using machine learning,False
2024,Department of the Interior,Machine Learning to evaluate water quality,False
2024,Department of the Interior,Ecological niche models for bat species,False
2024,Department of the Interior,HotLINK: The volcanic hotspot learning and identification network,False
2024,Department of the Interior,Development of a Strategic Framework for Use and Implementation of Machine Learning in Energy Resour,False
2024,Department of the Interior,"Quantifying Watershed Controls on Fine Sediment Flux to Lake Tahoe, California/Nevada",False
2024,Department of the Interior,Seismology of Magmatic Injection,False
2024,Department of the Interior,Earthquake Catalog Development,False
2024,Department of the Interior,Seedling Identification and Percent Growth Analysis,False
2024,Department of the Interior,Gulf Coast Geologic Energy Machine Learning,False
2024,Department of the Interior,Flow Photo Explorer to estimate flow,False
2024,Department of the Interior,Predicting Sparse (Geothermal) Resources Availability by using Machine Learning,False
2024,Department of the Interior,National Wildlife Disease Database,False
2024,Department of the Interior,Landform Mapping GeoAI,False
2024,Department of the Interior,Using Machine Learning Methods for Automatic Discovery and Catalog of North Dakota Stock Ponds and Other Impoundments,False
2024,Department of the Interior,Improved point cloud classification of 3DEP lidar data using Deep Learning models,False
2024,Department of the Interior,Knowledge Graph development,False
2024,Department of the Interior,Predicting inundation dynamics of small forested wetlands,False
2024,Department of the Interior,Hydrograhy feature extraction from remotely sensed data,False
2024,Department of the Interior,Using machine learning to detect invasive bullfrogs,False
2024,Department of the Interior,"Deep Learning application for automated mapping of surficial landforms, surficial geological deposit",False
2024,Department of the Interior,Zero shot segmentation to expedite Quaternary geologic mapping,False
2024,Department of the Interior,Oil Spil Response for Ice-Covered Rivers,False
2024,Department of the Interior,Modeling Sediment Abundance in the Eastern Snake River Plain Aquifer Using Supervised Learning,False
2024,Department of the Interior,Pacific Northwest Stream Flow Permanence,False
2024,Department of the Interior,SAMPLE Toolbox,False
2024,Department of the Interior,Mapping wildfire fuels in previously burned landscapes,False
2024,Department of the Interior,Inventorying landforms with convolutional neural networks,False
