Use Case Identifier,Use Case Name,Agency,Bureau,Email Address,Public Reporting Indicator,Development Stage,High Impact Indicator,High Impact Justification,Use Case Topic Area,AI Classification,Problem Description,Benefit Description,Output Description,Operation Date,Contractor Indicator,Vendor Name,ATO Indicator,System Name,Training Data Description,Enterprise Data Inventory URL,PII Indicator,PIA URL,Demographic Variable Description,Custom Code Indicator,Open Source Code URL,Predeployment Testing Indicator,AI Impact Assessment Indicator,Potential Impact Description,Independent Review Indicator,Ongoing Monitoring Indicator,Operator Training Indicator,Fail Safe Indicator,Appeal Process Indicator,End User Feedback Description
DOT-1000011,Airborne Safety Metric (ASM),Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Other,The use of AI modeling can categorize the types of events based on the information provided in the accident and incident report and its result will support the safety metric calculation.,,"The AI system can classify the event types such as mid-air collisions, flight into terrain accidents, and turbulence events for a given accident or incident reports.",10/01/2019 12:00:00 AM,No contract/external resources used in development.,,Yes,,ASM ingests accident and incident report such as Mandatory Occurrence Reports (MOR) and Aviation Safety Information Analysis & Sharing (ASIAS) data as the data source for the safety metrics calculation,,,No,None,No,,,,,,,,,,
DOT-1000012,Surface Safety Metric (SSM),Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Other,Automated review of accident narratives.,,"Classification of aircraft accidents as a
 - runway collision
 - taxiway collision
 - runway excursion
 - not a surface event",10/01/2018 12:00:00 AM,No contract/external resources used in development.,,Yes,,Internal and external accident report narratives.,,,No,None,No,,,,,,,,,,
DOT-1000013,Surface Report Classifiier (SCM/Auto-Class),Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Other,To classify surface Mandatory Occurrence Reports (MORs) to reduce the amount of manual event review.,,"Classes  - runway excursion, runway incursion, surface incident.",01/01/2019 12:00:00 AM,No contract/external resources used in development.,,Yes,,Manually curated dataset for surface events,,,No,None,No,,,,,,,,,,
DOT-1000014,Pilot-Controller Voice to Text Transcription,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,To transcribe recorded radio communications between pilots and air traffic controllers operating within the national airspace.,,Text transcriptions and speaker role (pilot/controller),10/21/2020 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,1000 hour voice corpus,,,No,None,No,,,,,,,,,,
DOT-1000015,Detection of Unmanned Aircraft Systems (UAS) Encounter,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,Unmanned Aircraft Systems (UAS) are a source of potential safety risk.  Manual data exploration by a human is labor and time consuming.  Automatic data mining can help to identify safety issues.,,Binary classification (yes/no) label for UAS event detection,05/10/2022 12:00:00 AM,No contract/external resources used in development.,,Yes,,Manually labeled training set,,,No,None,No,,,,,,,,,,
DOT-1000016,Human Performance Taxonomy labeling,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,to label radio communication transcripts according to the HP Taxonomy labeling system.,,One of 400 HP taxonomy labels.,12/15/2022 12:00:00 AM,No contract/external resources used in development.,,Yes,,SME-labeled training set,,,No,None,No,,,,,,,,,,
DOT-1000021,Regulatory Compliance Mapping Tool,Department of Transportation,FAA AVS,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,The AVS International office is required to identify means of compliance to ICAO Standards and Recommended Practices (SARPs).Â  Both SARPs and means of compliance evidence are text paragraphs scattered across thousands of pages of documents.Â  AOV identifie,,,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000022,JASC Code classification in Safety Difficulty Reports (SDR),Department of Transportation,FAA AVS,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"AVS identified a need to derive the joint aircraft system codes (JASC) chapter codes from the narrative description within service difficulty reports (SDR), a form of safety event reporting from aircraft operators. A team of graduate students at George Ma",,,,,,Not Applicable,,,,,No,None,No,,,,,,,,,,
DOT-1000024,Offshore Precipitation Capability (OPC),Department of Transportation,FAA ANG,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"The AI/ML tool helps detect and predict where precipitation currently is and where it will be at the future at various altitudes in parts of the NAS that do not have traditional ground based weather radar. 
Benefits are better weather dectection and avoid",,"The output of the system is meant to simulate weather radar where cooler colors (blues and greens) correspond to light precip where hotter colors (yellow, oranges and red) indicate heavy precip and/or more intense precipitation. A similar process is down",12/01/2013 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,None. It's public data from NOAA/NWS.,,,No,None,No,,,,,,,,,,
DOT-1000025,Course Deviation Identification for Multiple Airport Route Separation (MARS),Department of Transportation,FAA AVS,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,The Multiple Airport Route Separation (MARS) program is developing a safety case for reduced separation standards between Performance Based Navigation (PBN) routes in terminal airspace. These new standards may enable deconfliction of airports in high-dema,,,,,,Not Applicable,,,,,No,None,No,,,,,,,,,,
DOT-1000026,Improve and Speed up the Certification Service Oversight Process Using Intelligent Document Review,Department of Transportation,FAA AVS,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Before digitization: 
* The Certification Services Oversight Process (CSOP) is a manually intensive paper process 

* Requires the public and small businesses to provide input for Certification requests

* No external applicant tracking which results in p",,"""Before digitization: 

* The Certification Services Oversight Process (CSOP) is a manually intensive paper process 

* Requires the public and small businesses to provide input for Certification requests

* No external applicant tracking which results in",07/01/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Not Applicable,,Dynamic Regulatory System,,,Yes,None,No,,,,,,,,,,
DOT-1000027,Determining Surface Winds with Machine Learning Software,Department of Transportation,FAA ANG,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,Successfully demonstrated use of an AI capability to analyze camera images of a wind sock to produce highly accurate surface wind speed and direction information in remote areas that donâ€™t have a weather observing sensor.,,,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000028,Remote Oceanic Meteorological Information Operations (ROMIO),Department of Transportation,FAA ANG,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"ROMIO is an operational demonstration to evaluate the feasibility to uplink convective weather information to aircraft operating over the ocean and remote regions. Capability converted weather satellite data, lightning and weather prediction model data in",,,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000030,Head Kinematics Prediction,Department of Transportation,NHTSA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Description: Utilize deep learning models for predicting head kinematics directly from crash videos. The utilization of deep learning techniques enables the extraction of 3D kinematics from 2D views, offering a viable alternative for calculating head kine",,Angular velocity - injury prediction,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000031,Crash Parameter Prediction,Department of Transportation,NHTSA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Description: Utilize deep learning for predicting crash parameters, Delta-V (change in velocity) and PDOF (principal direction of force), directly from real-world crash images. Delta-V and PDOF are two most important parameters affecting injury outcome. D",,Delta-V & PDOF,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000033,Crushed Aggregate Gradation Evaluation System,Department of Transportation,FRA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Description: Deep learning computer vision algorithms aimed at analyzing aggregate particle size grading.
Input: Images of ballast cross sections",,Ballast fouling index,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000034,Automatic Track Change Detection Demonstration and Analysis,Department of Transportation,FRA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Description: DeepCNet-based neural network to identify and classify track-related  features (e.g., track components, such as fasteners and ties) for """"change detection"""" applications. Input: Line-scan images from rail-bound inspection systems.",,Notification of changes from status quo or between different inspections based on geolocation.,,,,Not Applicable,,,,,No,None,No,,,,,,,,,,
DOT-1000035,Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,Department of Transportation,FRA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Classical/Predictive Machine Learning,"Description: Leveraging large volumes of these recursive track geometry measurements to develop and implement automated machine-learning-based processes for analyzing, predicting, and reporting track locations of concern, including those with significant",,"Inspection report that includes the trending of track geometry measures and time to failure (i.e., maintenance and safety limits).",,,,Not Applicable,,,,,No,None,No,,,,,,,,,,
DOT-1000036,Integration of small Unmanned Aircraft System (sUAS) Geospacial Information System (GIS) Technologie,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Other,This use case will be used to enable new methods and tools that support the maintenance of life cycle of National Airpsace System (NAS) infrastructure.,,Used to enable non-Georefereced data to be integrated into digital form.,,,,Yes,,Esri ArcGIS and associated tools and applications,,,No,None,No,,,,,,,,,,
DOT-1000038,"Geolocating and Identifying Vehicle Hard Brake, Acceleration and Seat Belt Usage with CV Data",Department of Transportation,FHWA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Description:  The ongoing work leverages AI/ML in big traffic data analytics to identify roadway geolocations where potential safety issue may exist through the integration of connected vehicle data, speed and Individual Vehicle Record data, historical cr",,Maps and Reports,,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000039,"Path to Advanced Novel Data Analytics (PANDA), a data science lab.",Department of Transportation,FHWA Turner-Fairbank,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Classical/Predictive Machine Learning,Description: A data science lab established at Turner-Fairbank Highway Research Center.,,Promote usage of AI/ML tools on Databricks platform and implement research use cases across multiple highway desciplines.,,,,Yes,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000040,Exploratory Advanced Research group of projects,Department of Transportation,FHWA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"Description: The Exploratory Advanced Research (EAR) Program addresses the need for longer term, higher risk research with the potential for transformative improvements to transportation systems. The EAR Program currently funds several projects that focus",,Inputs and outputs vary across the projects.,,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000041,Enterprise Knowledge Graph and Advanced AI Data Structures Collaboration Group,Department of Transportation,"CAIO, FAA, OST-R, Volpe, OCIO",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,"DOT-Private Sector collaboration to develop advanced AI data structure expertise, lessons learned, and best practices to accelerate AI development across the agency.",,High-quality and efficient data structures increase AI model efficiency and accuracy.,10/24/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000042,Transportation Use Case Knowledge Repository (TrUCKR),Department of Transportation,CAIO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,"TrUCKR is the CAIO managed DOT platform for tracking the Department's unclassified AI use case development, maturity, assessments, clearances, risk evaluations and mitigations, and authorities to operate across the use case lifecycle for operations, resea",,"TrUCKR is the Department's data source for prioritizing and driving the acceleration of AI, monitoring AI governance and compliance, and internal and external collaboration.",09/24/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000043,NETT Council AI Coordination and Activities (AICA) Working Group,Department of Transportation,"CAIO, NETT",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,The AICA Working Group consists of Operating Administration (OA) and Secretarial Offices AI leaders and subject matter experts across the Department.  It is chaired by the CAIO and vice-chaired by representatives from the DOT Office of Research and Techno,,"Provides DOT with the necessary administrative infrastructure for coordinating Executive Order and other federal guidance and mandates, tracking AI activities, and collaborating on AI initiatives and compliance, governance, and guidance documents.",09/24/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000044,DOT Workforce Acquisitions and Training Team,Department of Transportation,"CAIO, OST-M, OCIO, OIE",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,The Workforce Acquisitions and Training Team members are DOT OA and Secretarial Office leaders responsible for AI talent acquisition and training and inspiring the workforce to accelerate AI adoption.,,Provides DOT with coordination and collaboration on AI hiring and training initiatives.,12/11/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000045,"NETT Council Safety, Rights, and Security Review (SR2) Committee",Department of Transportation,"CAIO, OCIO, OST-P, OST-M, NETT",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,"The SR2 Committee reviews and approves the operational deployment of all AI use cases and the public sharing of use case data, models, and code. The SR2 Committee is also responsible for performing the Security Review required by Executive Order 14110 Sec",,"Provides the Department with expert oversight of AI use case safety, security, rights, privacy, and data.",09/24/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000046,DOT AI Procurement Team,Department of Transportation,"CAIO, OST-M, FHWA, OCIO",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,The Procurement Team members are DOT OA and Secretarial Office leaders responsible for AI procurement and acquisitions.,,Provides DOT with internal and external coordination and collaboration on AI procurement and acquisition policy and procedures.,09/24/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000047,DOT AI Emerging Technology Team,Department of Transportation,"CAIO, OST-R, OCIO",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,"The AI Emerging Technology Team members are DOT OA and Secretarial Office leaders most knowledgeable in leading-edge AI technology, capacity, and capabilities.",,"Provides DOT with internal and external coordination and collaboration on establishing and maintaining leading-edge AI technology, capacity, and capabilities.",09/24/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000048,NHTSA Interim Generative AI (GenAI) Usage Guidance,Department of Transportation,NHTSA,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Generative AI,Guidelines on usage of commercially available Generative Artificial Intelligence (GenAI) Tools and Services.,,NHTSA guidelines (do's and don'ts) for using publicly available GenAI services while protecting security and privacy of DOT data.,,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000049,DOT Generative AI (GenAI) Policy,Department of Transportation,"CAIO, OST-P, OCIO, OST-R",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Generative AI,Provide DOT-wide generative AI (GenAI) policy.,,Establish guidelines and safeguards for GenAI use within the Department.,,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000050,Surface Safety Metric (DOT Key Performance Indicator),Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Other,"Creating weighting scheme values based on safety data for measuring and monitoring safety risk in the National Air Space. The weights are used to generate safety indices for surface and airborne settings, for both commercial and non-commercial flights.",,Safety indices for Commercial and Non-Commercial accident and incident categories with the SSM Safety Performance Target.,10/01/2024 12:00:00 AM,No contract/external resources used in development.,,Yes,,"Aviation Risk Identification and Assessment (ARIA), Aviation Safety Information Analysis & Sharing (ASIAS) data.",,,No,None,No,,,,,,,,,,
DOT-1000051,Power Platform Use,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Administrative Functions,Generative AI,Speeds up the development of code structure.,,Provides programming language recommendations (C#) to support coding/software development.,04/01/2025 12:00:00 AM,,,Yes,,,,,No,None,No,,,,,,,,,,
DOT-1000052,Tech Ops LLM Document Search,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"The AI system designed for Tech-Ops personnel is a comprehensive support tool that enhances efficiency by providing rapid, contextually accurate answers drawn from a central Knowledge Library. This Knowledge Library contains Technical Instruction Manuals,",,"Direct Answers to Queries: When a technician inputs a question in plain language, the AI generates a concise, relevant answer drawn directly from the Technical Instruction Manuals, Maintenance Handbooks, or other materials in the Knowledge Library. This r",05/01/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,"Technical Instruction Manuals (TI)
Maintenance Hadbooks (MHB)
Training Course Material
Historical Maintenance Logs",,,No,None,No,,,,,,,,,,
DOT-1000053,Human Resources Policy Manual (HRPM) LLM Document Search,Department of Transportation,FAA AHR,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Natural Language Processing (NLP),To allow employees to quickly and easily (via natural language processing) ask Human Resource policy questions and quickly receive back an easy to understand response.,,The system outputs HR policy in response to questions which are input by users (employees).,04/01/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,No training and/or fine-tuning done by FAA.  AHR has peformed internal testing to evaluate both the consistency and accuracy of reponses.,,,No,None,No,,,,,,,,,,
DOT-1000054,Financials LLM Document Search,Department of Transportation,FAA AFN,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Generative AI,Improving efficiency and productivity in budget and finance.,,financial data retrieved from the text resources,02/01/2024 12:00:00 AM,No contract/external resources used in development.,,Not Applicable,,finacial reports and budget estimates,,,No,None,No,,,,,,,,,,
DOT-1000055,Civil Aviation Registry Electronic Services (CARES) LLM Document Search,Department of Transportation,FAA AVS,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Generative AI,CARES will use AI (Azure chatbot) to scan thousands of pages and generate an accurate answer. The benefits will be a faster and deeper understanding of the business requirements so the FAA can speed up our development.,,"The Azure chatbot will find the information requested and output the information in a clear, easy to understand answer.",07/26/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,Chabot utilizes OpenAI GPT models within the FAA security boundary via the FAA's subscription to Azure. OpenAI GPT models within the FAA's subscription on Azure do not retain user data and do not use user data to train their models.,,,No,None,No,,,,,,,,,,
DOT-1000056,Financial Policy LLM Document Search,Department of Transportation,FAA AFN,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Generative AI,"The Financial Policy Chatbot (AI system) will search a variety of financial policy documents to answer users' financial policy questions, and more importantly, will link to the document(s) where it found the answer.  The the chatbot will initially be used",,"The Financial Policy Chatbot (AI system) will search a variety of financial policy documents to answer users' financial policy questions, and more importantly, will link to the document(s) where it found the answer.",06/13/2024 12:00:00 AM,No contract/external resources used in development.,,Yes,,"Financial Policy Chatbot input sources:
-	FAA Financial Manual
-	FAA Acquisition Management System
-	FAA Financial Policy SOPs
-	FAA Financial Policy Q&As
-	Dollars & Sense transcripts
-	FAA Financial Policy E-Learning course transcripts
-	FAA Financial P",,,No,None,No,,,,,,,,,,
DOT-1000057,Spectrum Assignment & Engineering Team LLM Document Search,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Generative AI,"Intended purpose: To make the user experience of end users more easy and  interactive and engaging.

Benefits: Increased customer satisfaction of FAA's coordination systems' users",,Responses to help questions,04/10/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,FAA owns the WebFCR system that requires coordination request for frequency spectrum be provided in particular formats as prescribed by the NTIA Spectrum Rebook manual. All data used is from the help file for WebFCR and the National Telecomunications and,,,No,None,No,,,,,,,,,,
DOT-1000058,National Program Office LLM Document Search,Department of Transportation,FAA AVS,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Generative AI,"The intended purpose is to provide answers to Element Design Data collection Tool (ED DCT) questions used during COS (continued operational safety), IC (initial certification), and configuration changes of a certificate holder's operation. The benefits in",,The outputs are aswers to Element Design Data collection Tool (EDDCT) questions.,07/25/2024 12:00:00 AM,No contract/external resources used in development.,,Yes,,FAA Safety Assurance System (SAS) data is used to evluate the performance.,,,No,None,No,,,,,,,,,,
DOT-1000059,FAA Orders and associated supplemental change notices LLM Document Search,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Generative AI,"The intended purpose of the AI chatbot is to streamline the retrieval of information from multiple FAA Orders and change notices. The expected benefits include saving time, improving accuracy in finding specific citations, and reducing manual effort for u",,"The chatbot outputs specific citations and relevant sections from multiple FAA Orders and change notices, which provides quick access to  information based on user queries. It delivers clear and concise responses by searching through documents like JO 711",05/20/2024 12:00:00 AM,No contract/external resources used in development.,,Yes,,"Currently, we do not have access to an enterprise data catalog or agency-wide data repository. Although we attempted to contact those involved with the Dynamic Regulatory System (DRS) project, which is intended to be the central repository for FAA Orders,",,,No,None,No,,,,,,,,,,
DOT-1000060,Remote Maintenance Monitoring (RMM) Analyzer Copilot,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Other,"The intended purpose of the AI is to serve as a ""Copilot"" for technical operations, allowing users to interact with complex data in plain language. This Copilot will retrieve, interpret, and present relevant information from the Instrument Landing Systems",,"""Enhanced Accessibility: Users can pose questions in plain language, bypassing the need for technical know-how on data filtering or analysis, making data insights available to a broader range of personnel.
Time Efficiency: By quickly retrieving relevant d",10/30/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,No,,,,,,,,,,
