"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,
FDIC – 17,Compliance Risk Monitoring,Division of Depositor and Consumer Protection,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,"Examiners must analyze a large amount of data to identify regulatory areas with relatively higher risk of violations on a data driven objective basis. This process is time consuming and does not currently utilize ML, which can reduce time intensity and improve effectiveness of risk detection.",FDIC will more effectively and efficiently utilize its examination resources on financial institutions and regulatory areas where consumer harm risk is highest.,A report that identifies relative risk of compliance violations.  ,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 19,Pre-Examination Planning Monitoring,Division of Depositor and Consumer Protection,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Computer Vision,The pre-exam planning process is time intensive and FDIC has limited examiner resources to review pre exam planning materials and make examination scoping decisions,"This project mitigates time constraints and limited examiner resources by enhancing efficiency of pre-exam planning by identifying PEP questions that are not indicative / misaligned with risk, thereby reducing examiner burden and yielding time savings for pre exam planning",A report related to pre-exam questions on their alignment with risk identification.,01/2023,b) Developed in-house,,Yes,PERSYS,"PEP IR (Pre-Examination Planning Instrument Report) uses pre-exam planning documents such as ARCH (Assessment of Risk of Consumer Harm), Call Report data, to identify pre exam planning questions for further review.",, No,,k) None of the above,Yes,N/A,,,,,,,,,,,,,,
FDIC – 21,HMDA (Home Mortgage Disclosure Act) Outlier Screen,Division of Depositor and Consumer Protection,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Scoping fair lending examinations can be time intensive.,"The HMDA (Home Mortgage Disclosure Act) program pre-screens off-site mortgage data to allow better utilization of examiner time on the highest risk areas and provides a data driven, objective basis to determining risk identification.",DCP Exams receives a report identifying areas of heightened risk of consumer harm.,01/2019,b) Developed in-house,,Yes,PERSYS,Regulatory Home Mortgage Disclosure Act (non-public) data is analyzed with supervised learning using SAS 9.4.,,Yes,https://www.fdic.gov/policies/privacy/documents/fdic-framework-for-oversight-of-compliance-and-cra-activities-user-suite-pia.pdf,"Race/Ethnicity, Sex/Gender, Age",Yes,N/A,,,,,,,,,,,,,,
FDIC-22,FDIC Deposit Insurance Misrepresentation,Division of Depositor and Consumer Protection,misimon@FDIC.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other,Other ,AI can help the FDIC identify instances of misrepresentation of FDIC Deposit Insurance.,Natural language processing  can search media reports and postings to identify posts with heightened risk of misrepresentation for additional review.  ,A database of media reports and postings with high risk of misrepresentation to be further reviewed manually.,01/2025,a) Purchased from a vendor,Meltwater, No,,,,Yes,https://www.fdic.gov/policies/privacy/documents/fdic-social-media-pia.pdf,k) None of the above,Yes,N/A,,,,,,,,,,,,,,
FDIC-24,Financial Well-being Project,Division of Insurance and Research,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC - 25,Generative Artificial Intelligence (AI) for Legal Research,Division of Administration,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Generative AI,"Reduce the time it takes to find legal research information, so approved FDIC employees can answer the legal sensitive questions faster and easier.","Thomson Reuters plans to deliver generative AI capabilities in Westlaw. This use case will allow users with the ability to find the answers they need faster and easier. This directly supports our mission by providing users with enhanced research capabilities through generative AI.  

This directly supports our mission by providing users with enhanced research capabilities through generative AI.  ","Commercially available legal research tools (Westlaw, Lexis Plus, and Bloomberg Law) will provide users with generative AI capabilities such as (best case law, review of a legal brief, etc.) to give attorney's information faster.",,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 32,Automatically-Scored Writing Assessment (AWA),Division of Administration,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,,Human Resources,Classical/Predictive Machine Learning,Reduce the time it takes to review the writing assessment and cost of essay scoring for the purpose of making more timely employment decisions.,The Automatically-Scored Writing Assessment (AWA) is intended to significantly increase speed and reduce cost of essay scoring for the purpose of employment decisions.,"A single overall score for the essay on a scale from 1  to 5, as well as three subscale scores ranging from 1 to 5 across the following dimensions: grammar and mechanics, analysis and reasoning, as well as organization and structure.",01/2008,c) Developed with both contracting and in-house resources,"Personnel Decisions Research Institutes, LLC (PDRI)", No,,Not Applicable,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Yes,Not Applicable,k) None of the above, No,Not Applicable,,,,,,,,,,,,,,
FDIC – 34,FDIC Predictive Budget Analysis,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Procurement & Financial Management,Classical/Predictive Machine Learning,Take in budget data for reporting and prediction. Analyze and explain differences in budget and actuals data. The AI solution is intended to decrease time to produce results via automation and reduce risk of human error. It helps solve the problem of timeliness of predictive efforts.,Reduces time and work to produce the report; increases response time to react and review data; allows deeper dives. This helps protect the DIF.,"The output would be a written explanation and visual of existing gaps between budget and actuals spent, in addition to visualizations of future looking analytic trends for budget considerations. The outputs would be viewed by users on a dashboard.",,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 36,Goals and Workload Assumptions,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,Summarize divisional efforts into a narrative taking into consideration staff numbers and competencies. The AI solution is intended to increase employee awareness of efforts and provide focus for what specialty a given employee may be interested in. This helps resolve and prevent internal communication problems.,Reduced time to receive answers based on data. This internal solution improves operational efficiency of the agency.,A visualization of effectiveness of divisional projects and a recommendation on how to fill the gap on missing elements or competencies. This would display via various charts on reports plus a narrative for consideration.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 37,CFOO Admin Chatbot,Division of Finance,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),Compiling data from internal FDIC website and targeted documents to answer questions about CFOO admin. The AI solution is intended to increase user access to already available data in a more digestible form. This helps internal employees self solve problems quickly when engaging with administrative issues.,"Makes information more readily available , searchable and readable. This internal solution improves operational efficiency of the agency.","An answer to the users question the user asks the bot. This addresses topics on internal division administrative questions including office maintenance, training, HR questions, policy, and security.",01/2023,b) Developed in-house,,Yes,Internal Chatbot RASA,CFOO Admin Chatbot uses the FDIC CFOO Administrative data set for training. The data contains administrative data elements. The administrative data set is internally available for all the FDIC employees and contractors.,, No,,k) None of the above,Yes,https://github.com/RasaHQ/rasa,,,,,,,,,,,,,,
FDIC – 38,CFOO Travel Chatbot,Division of Finance,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Procurement & Financial Management,Natural Language Processing (NLP),Compiling data from internal FDIC website and targeted documents to answer questions about FDIC travel. The AI solution is intended to increase user access to already available data in a more digestible form. This helps internal employees self solve problems quickly when engaging with travel issues.,"Makes information more readily available, searchable and readable. This internal solution improves operational efficiency of the agency.","An answer to the users question the user asks the bot. This addresses internal agency questions on travel including directives, policy, training, limits, and alerts.",09/2020,b) Developed in-house,,Yes,Internal Chatbot RASA,CFOO Travel Chatbot uses the FDIC Travel Policy data set for training. The data contains travel policy data elements. The travel policy data set is internally available for all the FDIC employees and contractors.,, No,,k) None of the above,Yes,https://github.com/RasaHQ/rasa,,,,,,,,,,,,,,
FDIC – 39,CFOO Transactional Data Analysis,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Procurement & Financial Management,Classical/Predictive Machine Learning,"AI assistance in monitoring financials/invoices for proper submittal, duplicate payments, and other abnormalities. The AI solution is intended to be an automated assist for auditing and monitoring efforts. This helps ensure compliance and reduces corporate risk.","Reduced time to catch errors, perform reviews, make data visualizations available. This helps protect the agency from the financial errors listed.","A recommendation on when a gap is identified, why it was identified, and possible causes. This would be displayed via viz tables showing the flagged invoices or abnormalities coupled with charts showing the general status. This would include drilldowns to contract numbers and agency sections to identify areas of concern.",,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 40,FDIC Staffing Model,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Human Resources,Classical/Predictive Machine Learning,"Monitor retention rate, retirement planning, and knowledge retention and succession. The AI solution is intended to be an automated assist for auditing and monitoring efforts. This helps reduce corporate risk and works toward solving problems of succession management.","Reduced time to receive answers, allowing folks to focus on more critical mission-driven work.",A prediction on future staffing and recommendations on how to meet varied goal points. This would display charts of before and after based on dates and narratives to be included in reports for consideration. This would include drilldowns to agency sections to identify areas of concern.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 41,FDIC Financial Audit Report,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Procurement & Financial Management,Classical/Predictive Machine Learning,Monitor employee transactions ensure regulations and policies are being followed.  The AI solution is intended to be an automated assist for auditing and monitoring efforts. This helps ensure compliance and reduces corporate risk.,"Reduced time to receive answers, allowing folks to focus on more critical mission-driven work. This helps the agency meet mandated reporting requirements.",An identification of items that fall outside policy and a recommendation on if a trend needs to be addressed. This would be displayed via viz tables showing the flagged transactions coupled with charts showing the general status. This would include drilldowns to directive numbers and agency sections to identify areas of concern.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 42,Risk Identification and Response,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Apply a risk model to identified risks and incorporate additional data sets to identify any correlations or possible solutions. The AI solution is intended to reduce time and pain points of processing or reading through large amounts of disparate datasets or narratives.,Reduce risk to corporation by being able to more quickly and accurately analyze and report out on data.,A recommendation of any correlations among risk data and a report including possible solutions. This would be displayed via viz tables showing the high risks or abnormalities coupled with charts showing the general status. This would include drilldowns to risk profile categories and agency sections to identify areas of concern.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 44,FDIC Investment Portfolio Management ,Division of Finance,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Procurement & Financial Management,Classical/Predictive Machine Learning,Analyze investment history and provide an additional predictive analysis for investments. The AI solution is intended to decrease time to produce results via automation to reduce risk of human error.,"Reduced time to receive answers, allowing folks to focus on more critical mission-driven work, act as an additional investment analysis review for staff to compare with. This helps protect the DIF.",A prediction of the outcome of possible investment choices and a recommendation of which would do best for the current portfolio. The output for this would be similar to a portfolio dashboard with a focus on internally flagged watch items.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 45,Analytics on Loan Data,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 46,Analytics on Securities Data,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 47,Business Data Extraction from Loan Files,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 48,Data Extraction from Security Prospectus,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 50,Initial Deposit File Analysis,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 51,Owned Real Estate (ORE) Property Appraisal,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 52,Trust Document Entity Extraction,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other,Natural Language Processing (NLP),"Currently, claims specialists spend countless hours manually reviewing trust agreements to extract grantor/settlor and beneficiary information. Implementing OCR and Llama to automate key data extraction from these agreements will significantly make the process faster, more efficient, and more accurate while eliminating the potential for manual errors.",This will reduce the time and cost to transpose information from Trust Agreements.,"The extracted data, which will include key data elements, such as grantor/settler and beneficiaries from Trust Agreements, along with the original Trust Agreement will be presented to users through an application user interface.",09/2024,c) Developed with both contracting and in-house resources,Deloitte,Yes,Resolution and Receivership Management Portal (RRMP),In-house Trust Documents,N/A,Yes,https://www.fdic.gov/policies/privacy/documents/fdic-insurance-determinations-and-payouts-pia.pdf,k) None of the above,Yes,N/A,,,,,,,,,,,,,,
FDIC – 53,Trust Document Entity Extraction - LLM,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Natural Language Processing (NLP),"The current trust document review process is labor intensive and may require further reviews by legal experts, hence, prolonging the processing time. By leveraging the use of a Large Language Model to automate the extraction of key information from trust agreements to match and verify customer form input, this will lead to a faster, accurate and efficient workflow for claims specialists.","The current trust document review process is labor intensive and may require further reviews by legal experts, hence, prolonging the processing time.  Using a LLM to automate the extraction of data will reduce manual effort and improve the quality of data extracted from trust documents.","By using the LLM, the extracted data will include key data elements, such as grantor/settler and beneficiaries from Trust Agreements along with the original Trust Agreement, which will be presented to users through an application user interface. This will  automate the extraction of key information from trust agreements to match and verify customer form inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 55,Extracting IT Information,Division of Risk Management Supervision,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Natural Language Processing (NLP),Searching for information using AI rather than manual reviews of pdf documents or using the RADD search function. AI simplifies the search efforts with a more robust search engine and provide better potential hits of desired information much faster than the current methods.,"Algorithm, Language Processing Horizontal Analysis - Risk Examination (AlphaREx) analyzes unstructured narrative content in Information Technology (IT) examination workpapers and Reports of Examination (ROE) to provide meaningful, actionable insights into information. AlphaREx capabilities contribute to the FDIC’s Modernization initiative for the Supervision Modernization Business Drivers and supports the mission of the RMS Information Technology Section.  Additionally, AlphaREx was developed to enable the automation, ingestion, analysis, and visualization of the information technology and operational unstructured and structured data gathered per the supervised financial institution.","Information collected across the IT Profile, FDIC Review of Examinations (ROEs), and multiple other sources (both unstructured/structured data) is a critical business need and is used by FDIC to promptly identify and address IT risks and Cyber risks for the FDIC Insured Deposit Institutions (IDIs).  In addition, this information is used to effectively identify trends, patterns and areas of improvement for the InTREx program; including training and changes to the FDIC IT Examination processes. ",01/2018,b) Developed in-house,,Yes,AlphaREx,Examination documents,N/A,Yes,https://www.fdic.gov/policies/privacy/documents/pia-fdic-ets.pdf,k) None of the above,Yes,"various code libraries to include the following:  beautifulsoup4
chardet
cx_Oracle
dask
datefinder==0.7.1
docx2txt
flask
gensim==4.0.0
GitPython
lxml
matplotlib >= 3.7
nltk==3.6.7
numpy >= 1.24
pandas<2.0
pyarrow >= 11.0
pyodbc
python-dateutil
python3-saml
rapidfuzz
scikit-learn<1.2
scipy >= 1.10
sentence-transformers >= 2.2
# snappy==1.1.10
# Spacy 3.0 is incompatible with AlphaREx spacy_setup.py. nlp.add_pipe now takes the string name of the registered component factory, not a callable component.
# Spacy 2.3.7 runs with python 3.9 without crashing, but yields different pipeline results.
spacy==2.2.4
 
statsmodels
tabulate
torch
 
# Additional Packages used during software development
autoflake
black==22.3.0
build
bump2version
coverage
flake8
isort==5.11.5
jupyter
locust >= 2.19
mypy
pip
pre-commit
pylint
pytest
pytest-cov
pyupgrade
ruff
 
# Packages installed with pip when using conda
detect-secrets
docx2python
flask-paginate
gunicorn
line_profiler
qdrant-client
sphinx
sphinx-rtd-theme
transformers>=4.3  ",,,,,,,,,,,,,,
FDIC – 56,Transcribing Structured Interviews,Division of Risk Management Supervision,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 57,New Offsite Models,Division of Risk Management Supervision,misimon@FDIC.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Information Technology,Classical/Predictive Machine Learning,This machine learning (ML) model is intended to identify banks most likely to be downgraded at or before the next examination. ,An improved methodology of identifying potential downgrades for use in our quarterly offsite review program.  This provides information on potentially deteriorating financial conditions in the better rated banks across the country.,Identify banks more likely to be downgraded.,01/2018,b) Developed in-house,,Yes,ViSION,"Call Report data, bank ratings, and macroeconomic data",N/A, No,,k) None of the above,Yes,N/A,,,,,,,,,,,,,,
FDIC-58,Enterprise FDIC Chat,Chief Information Officer Organization,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"Human capital resources are used on reading and summarizing content, research, generating draft documents, generating briefings, and searching for agency information.","Improvements in speed to skillset and business productivity for employees by introducing a secure, agency compliant Chat that can provide AI-assisted Q&A, content summarization, and basic semantic search.","Generate first drafts of documents, briefings, or communication materials. Create visual representation of data sets for reports or presentations. Search for agency information using knowledge retrieval system. ",,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC-60,Criminal Background Investigation,Division of Administration and Office of Inspector General,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,"By automating the verification process for conducting background screenings, the tool helps FDIC make faster and more informed hiring and investigatory decisions. ","Improving the time in completing background screening.  Reduce inaccurate and/or incomplete information on individuals.  Reduce the manual verification process, which can be cumbersome and place a heavy administration burden on HR staff. Protects FDIC insured institutions from high risk individuals. ",Aggregation of public records used to evaluate risk. ,Jan-03,a) Purchased from a vendor,CLEAR, No,CLEAR,Not Applicable,Not Applicable,Yes,Not Applicable,     l) Other, No,Not Applicable,,,,,,,,,,,,,,
FDIC-61,Financial Background Investigation,Division of Administration,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Classical/Predictive Machine Learning,"By automating the verification process for conducting background screenings, the tool helps FDIC make faster and more informed hiring and investigatory decisions. ","Improving the time in completing background screening.  Reduce inaccurate and/or incomplete information on individuals.  Reduce the manual verification process, which can be cumbersome and place a heavy administration burden on HR staff.","System outputs only include credit information such as if payments are made on-time, any delinquencies, and/or liens or bankruptcies etc.  An applicant’s FICO score is not part of the Financial Background Investigation process and is not that factored into the suitability, fitness, or eligibility determination.",,a) Purchased from a vendor,"Equifax, Trans Union",No,,Not Applicable,Not Applicable,Yes,Not Applicable,Unknown, No,Not Applicable,,,,,,,,,,,,,,
FDIC-62,Restitution Order AI Assistance,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,"The current process for managing restitution order data lacks efficiency, making it difficult to effectively identify, track, classify, and resolve these orders. This hinders the FDIC's ability to maximize recoveries from failed financial institutions. Implementing a strategic solution to enhance the identification, tracking, classification, and resolution of restitution order data will improve efficiency and ultimately support the FDIC's mission to maximize recoveries from failed financial institutions.","This is a strategic solution to enhance the identification, tracking, classification, and resolution of restitution order workload, ultimately supporting the FDIC’s mission to maximize recoveries from failed financial institutions The outputs will include restitution order dataset, case resolution report, consolidated recovery statement, loss estimation and asset tracking metrics. ",Restitution order data in structured format.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC-63,Provisional Holds Model,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,"This solution will enable the FDIC to proactively manage financial risk by providing the ability to estimate potential overpayments, even without real-time account-level data. The strategic insights gained will allow for the optimization of financial holds, minimizing both overpayment risk and operational inefficiencies.","The model supports the provisional holds process by estimating potential overpayment. Appropriate provisional holds allow depositors access to their funds in a timely manner, while controlling risks to the DIF from overpaying uninsured depositors during a bank failure. ",This solution will enable FDIC to proactively manage financial risk by estimating potential overpayments under different levels of provisional holds in the absence of current account-level data and provide strategic insights needed to optimize our financial holds. ,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC-64,Background Check Web Application,Division of Resolutions and Receiverships,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,FDIC can only maintain contact details of individuals or entities if they are self reported by them. The CLEAR service provides potentially the most current contact and entity information for Individuals or Companies who may be holding monetary assets or bonds in failed institutions and may need to be reimbursed.,Expected benefits are the most current contact information for individuals/companies including any related subsidiary entities. ,Web based output with contact details for individuals or entities.,01/2011,a) Purchased from a vendor,CLEAR,Yes,CLEAR,FDIC does not train the model.,No,Yes,No,k) None of the above, No,No open-source. CLEAR is a company proprietary licensed system.,,,,,,,,,,,,,,
