"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
DOI-0256,Well Activity Report Classification,BSEE,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Researching the use of Masked Language Models and Convolutional deep neural networks to identify classification systems for significant well event using data from Well Activity Reports. ,Enable quicker detection of significant well events to help BSEE personnel mitigate risks and address issues more efficiently.,Decision on what type of significant event a well activity report should report.,,Developed with both contracting and in-house resources,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0255,Autonomous Drone Inspections,BSEE,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Other,"The Bureau of Safety and Environmental Enforcement within the Department Of Interior, is requesting a trade study of the feasibility of autonomously inspecting off-shore facilities that are non-boardable due to various hazards. These inspections are currently performed by inspectors at a stand off distance from the non-boardable facility on board boats, helicopters, or from land. The distance between the personnel and the facility reduces the quality of inspections that are possible for non-boardable facilities. ",Increase the inspection capabilities and efficiency of inspections through the use of small autonomous uncrewed aerial systems (sUAS). ,"Multiple outputs for inspections, including decisions on corrosion levels, if a platform is boardable, does it have methane leaks.",,Developed with both contracting and in-house resources,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0254,Development of a computer vision model to monitor for early detection of habitat loss across the landscape. [2024 INV#DOI-65],FWS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Other,"The U.S. Fish and Wildlife Service is planning to partner with the Chesapeake Conservancy, an NGO, to develop a computer vision model to monitor for early detection of habitat loss across the landscape, a significant threat to biodiversity, including threatened and endangered species.  By using a computer vision model one can rapidly identify and flag areas where habitat loss may be occurring due to natural or human-caused disturbances.  Early detection can facilitate rapid responses, when appropriate, or allow practitioners to accurately calculate habitat loss over time.  More accurate estimates of habitat loss allow for better management decisions and potentially shorter recovery times for threatened and endangered species.","AI-powered computer vision enables early detection of habitat loss, allowing faster, more accurate responses to threats. This supports better conservation decisions and helps protect and recover threatened and endangered species.","AI-powered computer vision enables early detection of habitat loss, allowing faster, more accurate responses to threats. This supports better conservation decisions and helps protect and recover threatened and endangered species.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0253,Intelligent Optical Character Recognition [2024 INV#WO0000000110733],IBC,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0252,Image Generation and Audio Video Editing [2024 Inv#WO0000000110551],ONRR,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0251,Machine Learning Model Optimization[2024 INV#WO0000000110563],ONRR,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0250,Video Creation and Editing[2024 Inv#WO0000000110494],ONRR,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0249,ONRR Video Hosting Platform [OVHP][2024 Inv#WO0000000110488],ONRR,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0248,VoiceAtlas no-code chatbot framework,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Agentic AI,"Many business areas in USGS could benefit from AI tools, however do not have technical expertise on staff. ",VoiceAtlas is an out of the box no code solution for non-technical employees.,Chatbots with guardrails and knowledge bases that can be created and maintained by non-technical employees.,11/15/2024,Purchased from a vendor,Navteca,FALSE,,"product is being tested with public knowledgbases, such as Library Guide documents",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0247,Automated Walrus Haulout Monitoring [2024 INV#WO0000000110052],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,provide a framework for using pre-trained image classification convolutional neural network CNN models to make predictions on unlabled image datasets to provide data for further analysis of walrus (Odobenus rosmarus) coastal haulout occupation ,"time savings, reduce manual image review",determining the presence and absence of walruses at hauout locations via remote camera traps,2/29/2024,Developed in-house,,FALSE,,camera trap imagery,https://www.sciencebase.gov/catalog/,FALSE,,None of the Above,FALSE,https://code.usgs.gov/,,,,,,,,,,,,,,,,,,,
DOI-0246,ChatGPT to write Python scripts for ArcGIS Pro Maps to be CVD-Friendly [2024 INV#WO0000000107402],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Generative AI,automate the process of changing colors of planetary geologic map units within ArcGIS pro so that they are all color-vision deficiency friendly,time savings,colors of planetary geologic map units within ArcGIS pro so that they are all color-vision deficiency friendly,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0245,Machine Learning approach to predict the composition of seafloor massive sulfide deposits [2024 INV#WO0000000108420],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,predict the composition of seafloor massive sulfide deposits,time and cost savings,publications,7/29/2023,Developed in-house,,FALSE,,geochemical data,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0244,Harmful Algal Bloom prediction and detection system for Williams Fork Reservoir [2024 INV#WO0000000184339],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We have used remote sensing products to detect harmful algal blooms throughout the Upper Colorado Basin. However, there have been multiple algal blooms in the Williams Fork Reservoir that have remained undetected. ",leverage field data collected with satellite overpasses to tease out what may be causing this discrepancy. We want to leverage AI/ML to see if we can build a new or improve existing models to boost the signal in this high-altitude reservoir,"potential drivers (wind, nutrients, cloud cover) to potentially predict (based on antecedent conditions) when and where new blooms will occur",,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0243,Google Cloud Vision [2024 INV#WO0000000154445],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,USGS Water Mission Area needs text extraction from publicly available topographic maps as a callable function of an application. ,"time savings, cost savings",text data extracted from topographic maps,2/3/2025,Purchased from a vendor,Google,FALSE,,publicly available topographic maps,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0242,Google Vertex AI Document workbench [2024 INV#WO0000000154393],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,The USGS Energy Resource Program needs to use Google Vertex AI document workbench to perform data rescue on some old paper USGS publication tables with oil and gas production data from the 1940s-1980. This data is not available in digital form.,data rescue,digital data extracted from paper publication - oil and gas production data from 1940s - 1980s,2/3/2025,Purchased from a vendor,Google,FALSE,,  oil and gas production data from 1940s - 1980s,https://pubs.usgs.gov/publication/25181,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0241,USGS Azure OpenAI ChatGPT [2024 INV#WO0000000154392],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Various groups within USGS need a generic ChatGPT API to call from IDEs and various applications. ,"Cost savings, USGS sought to implement its own pay-as-you-go model in the DOI Azure tenant.",TBD,2/3/2025,Purchased from a vendor,"OpenAI, Microsoft",FALSE,,"none, we are using the generic GPT 4.0 model from OpenAI",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0240,Use modern AI/ML approaches to gain insight into USGS unstructured data such as text [2024 INV#WO0000000131706],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,There are a lot of unstructured data within USGS. Current efforts are to manually extract and analyze that data. We want to apply modern AI/ML approaches such as RAG (Retrieval-Augmented Generation) to gain insights from that unstructured data.,gain insights from that unstructured data,Develop AI/ML approaches such as RAG (Retrieval-Augmented Generation) to gain insights from that unstructured data,,Purchased from a vendor,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0239,Parsing large quantities of text data [2024 INV#WO0000000113692],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The goal is to assess how news sources discuss water events, how this relates to water availability and vulnerability, and how these patterns vary over time/space.","time savings, without AI this would require reading through thousands of news articles to extract relevant information including mention of a specific the hazard (e.g., drought, flood, HABs), geographic region, organization, and other topical keywords.",identify noteworthy water events in the Upper Colorado River Basin from news articles,,Purchased from a vendor,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0238,PAWSC Ecotoxicology PFAS Machine Learning [2024 INV#WO0000000112908],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,assess the ecological health risk of PFAS in Pennsylvania stream surface water,predict potential PFAS exposure effects in unmonitored stream reaches,"Leveraging a tailored convolutional neural network (CNN), a validation accuracy of 78% was achieved, directly outperforming traditional methods that were also used, such as logistic regression and gradient boosting (accuracies of 65%)",12/9/2024,Developed in-house,,FALSE,,"PFAS concentrations in environmental waters, specifically streams for this model.",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0237,Prioritized Constituents: Sediment [2024 INV#WO0000000109726],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Regional prediction of suspended sediment concentration in unmonitored rivers to characterize sediment transport in the Delaware, Illinois, and Colorado River Basins.","ability to characterize sediment transport in the Delaware, Illinois, and Colorado River Basins",prediction of suspended sediment concentration in unmonitored rivers ,10/2/2023,Developed in-house,,FALSE,,"Climate, Hydrologic Data, Land Use, Terrain Elevation",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0236,Avian population estimates from passive acoustic monitoring [2024 INV#WO0000000109725],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Reliable estimates of avian abundance from acoustic recordings,improved estimates of avian abundance,estimates of avian abundance,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0235,FEMA mixed population flood-frequency analysis [2024 INV#WO0000000109723],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Classification of historical floods based on causal mechanisms to support improved estimation of flood reoccurrence intervals,improved estimation of flood reoccurrence intervals,Classification of historical floods based on causal mechanisms ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0234,Data-Driven Streamflow Drought [2024 INV#WO0000000109714],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,streamflow drought forecasts,"ability to provide drought forecasts using data-driven, machine learning approaches for USGS gage locations across the continental U.S.",drought forecasts,10/3/2022,Developed in-house,,FALSE,,"Climate, earth science, land use",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0233,National-Extent Groundwater Quality Prediction for the National Water Census and Regional Integrated Water Availability Assessments [2024 INV#WO0000000109709],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,provide Nationally consistent predictions of groundwater quality (salinity and nutrients) relevant for human and ecological uses and its influence on surface-water,Nationally consistent predictions of groundwater quality can be integrated into comprehensive water-availability assessments including the National Water Census and regional Integrated Water Availability Assessments,predictions of groundwater quality and integration into comprehensive water-availability assessments including the National Water Census and regional Integrated Water Availability Assessments ,10/1/2021,Developed in-house,,FALSE,,"Earth Science, Land Use, Climate, Water Quality, Population Density",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0232,Use of artificial intelligence tools for optimization and documentation for computer codes [2024 INV#WO0000000109681],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Generative AI,computer codes are needed that implement earthquake rupture forecasts and ground-motion models. This project uses ChatGPT to suggest optimizations and documentation for computer codes.,time savings,"documentation, optimized code",10/2/2023,Developed with both contracting and in-house resources,OpenAI,FALSE,,computer codes,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0231,Mapping sagebrush from drones to satellites [2024 INV#WO0000000109568],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,accurate maps of sagebrush are needed to identify seasonal habitats of sage-grouse for the Bureau of Land Management,extend presence modeling to map fractional cover of sagebrush in the Dakotas ,accurate maps of sagebrush to identify seasonal habitats of sage-grouse,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0230,Delineating sub-surface drainage using satellite imagery [2024 INV#WO0000000109525],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Knowing subsurface drainage (tile-drain) extent is integral to understanding how landscapes respond to precipitation events and subsequent days of drying, as well as how soil characteristics and land management influence stream response.",a time series of tile-drain extent would inform one aspect of land management that complicates our ability to explain streamflow and water-quality as a function of climate variability or conservation management,time series of tile-drain extent ,11/26/2024,Developed in-house,,FALSE,,"Satellite imagery, soils data",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0229,Vegetation mapping on the Hawaiian island of Lanai [2024 INV#WO0000000109501],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"accurately classify plant species across the Hawaiian island of Lanai, producing detailed maps that can support conservation planning and monitoring of both native and invasive species",accurately classify plant species,detailed maps that support conservation planning and monitoring of both native and invasive species,3/7/2024,Developed in-house,,FALSE,,Digital Globe WorldView-2 satellite imagery; airborne imagery collected by EagleView,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0228,Reinforcement Learning for Helmholtz Coil Operation and Simulation [2024 INV#WO0000000109497],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,optimize performance of its magnetic observatories,reinforcement learning (RL) can significantly aid in the operation of a Helmholtz coil by optimizing its performance in generating uniform magnetic fields,optimized performance in generating uniform magnetic fields,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0227,Population and critical habitat modeling of overwintering monarch butterflies [2024 INV#WO0000000109410],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Monarch butterflies in the western United States overwinter at very specific locations across coastal California. As monarch population decline it become important to identify the characteristics of what makes an overwintering grove a suitable habitat. ,"Understanding the land cover and climatic factors that influence site selection by monarch can aid land managers in both making decisions to support existing critical habitat, and identify previously unknown locations where monarchs overwinter",Characteristics of what makes an overwintering grove a suitable habitat.,10/1/2023,Developed in-house,,FALSE,,"High resolution land cover data, population abundance data, regional climate data",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0226,Machine Learning algorithm for stream velocity prediction [2024 INV#WO0000000109319],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,time-of-travel web-based application that will allow users to estimate travel times in a spill response scenario with greater accuracy,more accurate predictions of travel times in a spill response scenario,travel time estimates during a spill response scenario,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0225,Automated otolith aging using image processing [2024 INV#WO0000000109315],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Fisheries managers and researchers often need to know the age of fish for population estimates, stock assessment, and similar projects. Fish otoliths (an ear bone) often accumulated rings annual (similar to tress). ",automate this process to see if we can reduce variability across individual agers and automate the aging process of counting otolith rings possibly saving time,automated aging process,10/1/2023,Developed in-house,,FALSE,,Otolith images (pictures) with known ages,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0224,Machine learning for tsunami source zones [2024 INV#WO0000000109313],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,State of the art tsunami hazard analysis for coastal communities and infrastructure is computationally demanding.,computational efficiency,ML will be used to select the most representative source zones (among thousands of offshore earthquake ruptures),10/1/2024,Developed in-house,,FALSE,,Offshore fault slip rate data and historical seismicity,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0223,"Oceanographic, coastal, and geomorphic change analysis: data generation, QC/QA, and data management [2024 INV#WO0000000109310]",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine learning to quantify coastal/marine change across broad scales.  QC/QA processes in place to assess data robustness.,"Verified data will be used by USGS projects for forecasting trends (ie, shorelines, role of permafrost) in a variety of coastal/marine settings for US coasts.",quantified coastal/marine change across broad scales and verified data for forecasting,10/1/2024,Developed in-house,,FALSE,,"Satellite, aerial and fixed camera imagery. Oceanographic and coastal time series data.",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0222,"Quantifying the effects of land-use change and bioenergy crop production on pollinators, wildlife, and ecosystem services in the Northern Great Plains [2024 INV#WO0000000109305]",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Quantifying the effects of land-use change and bioenergy crop production on pollinators, wildlife, and ecosystem services in the Northern Great Plains","Ability to Quantifying the effects of land-use change and bioenergy crop production on pollinators, wildlife, and ecosystem services in the Northern Great Plains","Quantified effects of land-use change and bioenergy crop production on pollinators, wildlife, and ecosystem services in the Northern Great Plains",10/1/2018,Developed in-house,,FALSE,,UAS images,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0221,Computationally efficient emulation of spheroidal elastic deformation sources using machine learning [2024 INV#WO0000000109302],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"analytical models are fast but can be inaccurate as they do not correctly satisfy boundary conditions for many geometries, while numerical models are slow and may require specialized expertise and software",we trained supervised machine learning emulators (model surrogates) based on parallel partial Gaussian processes which predict the output of a finite element numerical model with high fidelity,output of a finite element numerical model with high fidelity,1/2/2023,Developed in-house,,FALSE,,model output,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
